metrics,25%,50%,75%,count,max,mean,min,std
Train_stations_blackpool,0.0,0.0,0.0,19.0,1.0,0.21052631578947367,0.0,0.41885390829169555
Train_stations_liverpool,0.0,0.0,1.0,72.0,4.0,0.3888888888888889,0.0,0.7792295862220697
Train_stations_london,0.0,0.0,1.0,978.0,8.0,0.3834355828220859,0.0,0.7511244770218144
Train_stations_rural,0.0,0.0,1.0,1326.0,12.0,0.5067873303167421,0.0,0.9561869691752176
Train_stations_urban,0.0,0.0,0.0,5875.0,8.0,0.27795744680851064,0.0,0.5652963898729665
avg_time_bus_all,22.9195907191617,27.0041064537037,32.1220608619048,7201.0,115.17637166666701,28.790734790135648,9.32126891525424,9.827287965086551
avg_time_bus_birmingham,23.896043407737203,26.535732969050798,28.41488501494305,135.0,40.5965466854651,26.615604940600093,19.469131099730802,3.414280622992346
avg_time_bus_blackpool,22.3544477575819,23.4556636879699,26.551755360707702,19.0,34.6256579666667,24.978138382893636,19.2465607497093,4.0104340197085735
avg_time_bus_liverpool,23.0627140496135,25.9792574915759,28.497251518228097,72.0,42.4362912931034,26.191566313464346,20.3922189260982,3.977923722282381
avg_time_bus_london,25.511329421200127,28.38684798124875,31.697023094904672,978.0,45.7206680932526,28.604148805409974,13.204665819502099,4.427374910282638
avg_time_bus_rural,27.3323756296976,34.38713121823345,43.4415734034205,1326.0,115.17637166666701,37.193940722634956,12.325975375757599,14.464691094482474
avg_time_bus_urban,22.43242857844715,26.135001559302303,30.244214560408203,5875.0,80.13548692307691,26.89411333200894,9.32126891525424,7.18630307200553
avg_time_car_all,9.595475365450339,11.205226489759,13.592524345511,7201.0,64.2336065824885,12.017846392541097,4.9635083168381,3.5106093756804597
avg_time_car_birmingham,8.5659686339487,9.38671627619295,10.4157666323792,135.0,21.466357697065497,9.799881616780922,7.42332601675067,1.9047807686161935
avg_time_car_blackpool,8.66177013963814,9.39671598259925,9.9805741799952,19.0,10.8286742287116,9.330350765650111,7.8204907295085295,0.9342287905555736
avg_time_car_liverpool,9.479943055954514,10.0399399842089,11.040615994092398,72.0,21.6243819753721,10.559275520063126,7.6466553555819905,2.0571487675897355
avg_time_car_london,8.267693898699639,9.020238826798765,10.119612976465449,978.0,24.7047493776336,9.394646159315979,4.9635083168381,1.784060457575133
avg_time_car_rural,13.977649012309849,16.011803258867403,18.69708376286285,1326.0,64.2336065824885,16.662934637223977,8.883959200329722,3.934143794674637
avg_time_car_urban,9.290104160451865,10.6147632198664,12.265319230237449,5875.0,39.564784132612,10.96944009254973,4.9635083168381,2.375945443875651
