,Area.of.residence,variable,value
314,E02006826,Area.of.workplace,E02000001
315,E02005678,Area.of.workplace,E02000001
316,E02006461,Area.of.workplace,E02000001
317,E02003549,Area.of.workplace,E02000001
318,E02003865,Area.of.workplace,E02000001
319,E02000746,Area.of.workplace,E02000001
320,E02001272,Area.of.workplace,E02000001
321,E02006719,Area.of.workplace,E02000001
322,E02000366,Area.of.workplace,E02000001
323,E02003199,Area.of.workplace,E02000001
324,E02005388,Area.of.workplace,E02000001
325,E02000580,Area.of.workplace,E02000001
326,E02005846,Area.of.workplace,E02000001
327,E02000799,Area.of.workplace,E02000001
328,E02003087,Area.of.workplace,E02000001
329,E02005346,Area.of.workplace,E02000001
330,E02001039,Area.of.workplace,E02000001
331,E02001132,Area.of.workplace,E02000001
332,E02003268,Area.of.workplace,E02000001
333,E02006666,Area.of.workplace,E02000001
334,E02006003,Area.of.workplace,E02000001
335,E02004826,Area.of.workplace,E02000001
336,E02000204,Area.of.workplace,E02000001
337,E02003639,Area.of.workplace,E02000001
338,E02006192,Area.of.workplace,E02000001
339,E02006604,Area.of.workplace,E02000001
340,E02005112,Area.of.workplace,E02000001
341,E02004838,Area.of.workplace,E02000001
342,E02005561,Area.of.workplace,E02000001
343,E02006213,Area.of.workplace,E02000001
344,E02003659,Area.of.workplace,E02000001
345,E02006322,Area.of.workplace,E02000001
346,E02004235,Area.of.workplace,E02000001
347,E02004479,Area.of.workplace,E02000001
348,E02000521,Area.of.workplace,E02000001
349,E02006085,Area.of.workplace,E02000001
350,E02006411,Area.of.workplace,E02000001
351,E02000785,Area.of.workplace,E02000001
352,E02005126,Area.of.workplace,E02000001
353,E02001562,Area.of.workplace,E02000001
354,E02004629,Area.of.workplace,E02000001
355,E02006032,Area.of.workplace,E02000001
356,E02000763,Area.of.workplace,E02000001
357,E02003523,Area.of.workplace,E02000001
358,E02000886,Area.of.workplace,E02000001
359,E02000261,Area.of.workplace,E02000001
360,E02003274,Area.of.workplace,E02000001
361,E02006281,Area.of.workplace,E02000001
362,E02005744,Area.of.workplace,E02000001
363,E02000481,Area.of.workplace,E02000001
364,E02001441,Area.of.workplace,E02000001
365,E02003115,Area.of.workplace,E02000001
366,E02002330,Area.of.workplace,E02000001
367,W02000394,Area.of.workplace,E02000001
368,E02004317,Area.of.workplace,E02000001
369,E02006897,Area.of.workplace,E02000001
370,W02000135,Area.of.workplace,E02000001
371,W02000228,Area.of.workplace,E02000001
372,E02004411,Area.of.workplace,E02000001
373,E02005356,Area.of.workplace,E02000001
374,E02000411,Area.of.workplace,E02000001
375,E02000707,Area.of.workplace,E02000001
376,E02000463,Area.of.workplace,E02000001
377,E02002196,Area.of.workplace,E02000001
378,E02006657,Area.of.workplace,E02000001
