,Area.of.residence,variable,value
19385,E02000372,Area.of.workplace,E02000036
19386,E02000185,Area.of.workplace,E02000036
19387,E02000828,Area.of.workplace,E02000036
19388,E02004970,Area.of.workplace,E02000036
19389,E02000104,Area.of.workplace,E02000036
19390,E02000264,Area.of.workplace,E02000036
19391,E02000187,Area.of.workplace,E02000036
19392,E02000497,Area.of.workplace,E02000036
19393,E02000061,Area.of.workplace,E02000036
19394,E02000093,Area.of.workplace,E02000036
19395,E02000408,Area.of.workplace,E02000036
19396,E02003488,Area.of.workplace,E02000036
19397,E02000032,Area.of.workplace,E02000036
19398,E02005319,Area.of.workplace,E02000036
19399,E02000453,Area.of.workplace,E02000036
19400,E02000114,Area.of.workplace,E02000036
19401,E02000438,Area.of.workplace,E02000036
19402,E02004957,Area.of.workplace,E02000036
19403,E02004535,Area.of.workplace,E02000036
19404,E02004870,Area.of.workplace,E02000036
19405,E02000588,Area.of.workplace,E02000036
19406,E02003272,Area.of.workplace,E02000036
19407,E02004901,Area.of.workplace,E02000036
19408,E02006336,Area.of.workplace,E02000036
19409,E02000291,Area.of.workplace,E02000036
19410,E02000740,Area.of.workplace,E02000036
19411,E02000014,Area.of.workplace,E02000036
19412,E02000704,Area.of.workplace,E02000036
19413,E02004991,Area.of.workplace,E02000036
19414,E02000501,Area.of.workplace,E02000036
19415,E02000721,Area.of.workplace,E02000036
19416,E02000887,Area.of.workplace,E02000036
19417,E02004906,Area.of.workplace,E02000036
19418,E02004939,Area.of.workplace,E02000036
19419,E02000415,Area.of.workplace,E02000036
19420,E02000057,Area.of.workplace,E02000036
19421,E02000049,Area.of.workplace,E02000036
19422,E02000064,Area.of.workplace,E02000036
19423,E02000440,Area.of.workplace,E02000036
19424,E02000288,Area.of.workplace,E02000036
19425,E02000097,Area.of.workplace,E02000036
19426,E02004962,Area.of.workplace,E02000036
19427,E02000727,Area.of.workplace,E02000036
19428,E02000838,Area.of.workplace,E02000036
19429,E02003651,Area.of.workplace,E02000036
19430,E02004978,Area.of.workplace,E02000036
19431,E02006882,Area.of.workplace,E02000036
19432,E02000034,Area.of.workplace,E02000036
19433,E02000098,Area.of.workplace,E02000036
19434,E02000922,Area.of.workplace,E02000036
19435,E02000384,Area.of.workplace,E02000036
19436,E02000015,Area.of.workplace,E02000036
19437,E02006037,Area.of.workplace,E02000036
19438,E02004983,Area.of.workplace,E02000036
19439,E02003682,Area.of.workplace,E02000036
19440,E02000260,Area.of.workplace,E02000036
19441,E02000030,Area.of.workplace,E02000036
19442,E02000672,Area.of.workplace,E02000036
19443,E02004976,Area.of.workplace,E02000037
19444,E02000906,Area.of.workplace,E02000037
19445,E02000111,Area.of.workplace,E02000037
19446,E02005354,Area.of.workplace,E02000037
19447,E02000362,Area.of.workplace,E02000037
19448,E02000299,Area.of.workplace,E02000037
19449,E02000121,Area.of.workplace,E02000037
19450,E02000912,Area.of.workplace,E02000037
19451,E02000459,Area.of.workplace,E02000037
19452,E02000461,Area.of.workplace,E02000037
19453,E02004899,Area.of.workplace,E02000037
19454,E02003402,Area.of.workplace,E02000037
19455,E02000036,Area.of.workplace,E02000037
19456,E02004856,Area.of.workplace,E02000037
19457,E02000113,Area.of.workplace,E02000037
19458,E02000093,Area.of.workplace,E02000037
19459,E02000042,Area.of.workplace,E02000037
19460,E02004847,Area.of.workplace,E02000037
19461,E02000171,Area.of.workplace,E02000037
19462,E02003615,Area.of.workplace,E02000037
19463,E02000119,Area.of.workplace,E02000037
19464,E02004939,Area.of.workplace,E02000037
19465,E02000418,Area.of.workplace,E02000037
19466,E02000170,Area.of.workplace,E02000037
19467,E02000420,Area.of.workplace,E02000037
19468,E02004871,Area.of.workplace,E02000037
19469,E02004957,Area.of.workplace,E02000037
19470,E02000028,Area.of.workplace,E02000037
19471,E02000181,Area.of.workplace,E02000037
19472,E02004877,Area.of.workplace,E02000037
19473,E02000175,Area.of.workplace,E02000037
19474,E02004846,Area.of.workplace,E02000037
19475,E02004970,Area.of.workplace,E02000037
19476,E02004938,Area.of.workplace,E02000037
19477,E02000059,Area.of.workplace,E02000037
19478,E02000312,Area.of.workplace,E02000037
19479,E02004906,Area.of.workplace,E02000037
19480,E02000882,Area.of.workplace,E02000037
19481,E02000033,Area.of.workplace,E02000037
19482,E02000048,Area.of.workplace,E02000037
19483,E02000297,Area.of.workplace,E02000037
19484,E02000055,Area.of.workplace,E02000037
19485,E02000453,Area.of.workplace,E02000037
19486,E02004956,Area.of.workplace,E02000037
19487,E02004897,Area.of.workplace,E02000037
19488,E02006415,Area.of.workplace,E02000037
19489,E02000049,Area.of.workplace,E02000037
19490,E02000109,Area.of.workplace,E02000037
19491,E02000440,Area.of.workplace,E02000037
19492,E02000624,Area.of.workplace,E02000037
19493,E02000096,Area.of.workplace,E02000037
19494,E02004975,Area.of.workplace,E02000037
19495,E02000439,Area.of.workplace,E02000037
19496,E02000965,Area.of.workplace,E02000037
19497,E02000387,Area.of.workplace,E02000037
19498,E02004932,Area.of.workplace,E02000037
19499,E02000367,Area.of.workplace,E02000037
19500,E02000359,Area.of.workplace,E02000037
19501,E02000061,Area.of.workplace,E02000037
19502,E02000358,Area.of.workplace,E02000037
19503,E02004974,Area.of.workplace,E02000037
19504,E02004940,Area.of.workplace,E02000037
19505,E02000097,Area.of.workplace,E02000037
19506,E02004905,Area.of.workplace,E02000037
19507,E02003677,Area.of.workplace,E02000037
19508,E02000168,Area.of.workplace,E02000037
19509,E02000397,Area.of.workplace,E02000037
19510,E02000112,Area.of.workplace,E02000037
19511,E02000025,Area.of.workplace,E02000037
19512,E02000125,Area.of.workplace,E02000037
19513,E02004901,Area.of.workplace,E02000037
19514,E02000279,Area.of.workplace,E02000037
19515,E02000306,Area.of.workplace,E02000037
19516,E02003636,Area.of.workplace,E02000037
19517,E02000047,Area.of.workplace,E02000037
19518,E02000982,Area.of.workplace,E02000037
19519,E02000250,Area.of.workplace,E02000037
19520,E02000308,Area.of.workplace,E02000037
19521,E02000307,Area.of.workplace,E02000037
19522,E02000056,Area.of.workplace,E02000037
19523,E02000504,Area.of.workplace,E02000037
19524,E02000438,Area.of.workplace,E02000037
19525,E02000298,Area.of.workplace,E02000037
19526,E02003468,Area.of.workplace,E02000037
19527,E02000172,Area.of.workplace,E02000037
19528,E02003666,Area.of.workplace,E02000037
19529,E02000123,Area.of.workplace,E02000037
19530,E02000099,Area.of.workplace,E02000037
19531,E02004971,Area.of.workplace,E02000037
19532,E02000482,Area.of.workplace,E02000037
19533,E02004898,Area.of.workplace,E02000037
19534,E02000348,Area.of.workplace,E02000037
19535,E02000437,Area.of.workplace,E02000037
19536,E02000346,Area.of.workplace,E02000037
19537,E02003259,Area.of.workplace,E02000037
19538,E02005072,Area.of.workplace,E02000037
19539,E02000034,Area.of.workplace,E02000037
19540,E02004935,Area.of.workplace,E02000037
19541,E02000870,Area.of.workplace,E02000037
19542,E02000045,Area.of.workplace,E02000037
19543,E02000364,Area.of.workplace,E02000037
19544,E02004908,Area.of.workplace,E02000037
19545,E02004989,Area.of.workplace,E02000037
19546,E02000457,Area.of.workplace,E02000037
19547,E02000570,Area.of.workplace,E02000037
19548,E02000311,Area.of.workplace,E02000037
19549,E02003640,Area.of.workplace,E02000037
19550,E02000449,Area.of.workplace,E02000037
19551,E02000122,Area.of.workplace,E02000037
19552,E02004958,Area.of.workplace,E02000037
19553,E02004850,Area.of.workplace,E02000037
19554,E02000115,Area.of.workplace,E02000037
19555,E02000110,Area.of.workplace,E02000037
19556,E02005131,Area.of.workplace,E02000037
19557,E02000369,Area.of.workplace,E02000037
19558,E02000389,Area.of.workplace,E02000037
19559,E02004943,Area.of.workplace,E02000037
19560,E02000345,Area.of.workplace,E02000037
19561,E02000062,Area.of.workplace,E02000037
19562,E02000247,Area.of.workplace,E02000037
19563,E02000531,Area.of.workplace,E02000037
19564,E02000035,Area.of.workplace,E02000037
19565,E02004984,Area.of.workplace,E02000037
19566,E02004862,Area.of.workplace,E02000037
19567,E02000095,Area.of.workplace,E02000037
19568,E02003456,Area.of.workplace,E02000037
19569,E02000030,Area.of.workplace,E02000037
19570,E02004981,Area.of.workplace,E02000037
19571,E02000422,Area.of.workplace,E02000037
19572,E02000910,Area.of.workplace,E02000037
19573,E02000913,Area.of.workplace,E02000037
19574,E02000039,Area.of.workplace,E02000037
19575,E02000050,Area.of.workplace,E02000037
19576,E02000031,Area.of.workplace,E02000037
19577,E02000318,Area.of.workplace,E02000037
19578,E02000557,Area.of.workplace,E02000037
19579,E02000291,Area.of.workplace,E02000037
19580,E02000117,Area.of.workplace,E02000037
19581,E02000060,Area.of.workplace,E02000037
19582,E02000058,Area.of.workplace,E02000037
19583,E02004985,Area.of.workplace,E02000037
19584,E02000441,Area.of.workplace,E02000037
19585,E02000442,Area.of.workplace,E02000037
19586,E02000352,Area.of.workplace,E02000037
19587,E02000454,Area.of.workplace,E02000037
19588,E02004979,Area.of.workplace,E02000037
19589,E02004902,Area.of.workplace,E02000037
19590,E02004936,Area.of.workplace,E02000037
19591,E02000815,Area.of.workplace,E02000037
19592,E02004964,Area.of.workplace,E02000037
19593,E02000499,Area.of.workplace,E02000037
19594,E02000066,Area.of.workplace,E02000037
19595,E02000829,Area.of.workplace,E02000037
19596,E02000029,Area.of.workplace,E02000037
19597,E02000296,Area.of.workplace,E02000037
19598,E02000107,Area.of.workplace,E02000037
19599,E02000178,Area.of.workplace,E02000037
19600,E02000037,Area.of.workplace,E02000037
19601,E02004894,Area.of.workplace,E02000037
19602,E02000038,Area.of.workplace,E02000037
19603,E02000430,Area.of.workplace,E02000037
19604,E02004907,Area.of.workplace,E02000037
19605,E02000101,Area.of.workplace,E02000037
19606,E02000351,Area.of.workplace,E02000037
19607,E02000053,Area.of.workplace,E02000037
19608,E02004533,Area.of.workplace,E02000037
19609,E02000057,Area.of.workplace,E02000037
19610,E02004887,Area.of.workplace,E02000037
19611,E02004988,Area.of.workplace,E02000037
19612,E02000094,Area.of.workplace,E02000037
19613,E02000169,Area.of.workplace,E02000037
19614,E02000560,Area.of.workplace,E02000037
19615,E02000024,Area.of.workplace,E02000037
19616,E02000960,Area.of.workplace,E02000037
19617,E02004987,Area.of.workplace,E02000037
19618,E02004864,Area.of.workplace,E02000037
19619,E02000555,Area.of.workplace,E02000037
19620,E02004962,Area.of.workplace,E02000037
19621,E02004904,Area.of.workplace,E02000037
19622,E02000448,Area.of.workplace,E02000037
19623,E02004545,Area.of.workplace,E02000037
19624,E02000105,Area.of.workplace,E02000037
19625,E02000435,Area.of.workplace,E02000037
19626,E02004869,Area.of.workplace,E02000037
19627,E02004961,Area.of.workplace,E02000037
19628,E02000284,Area.of.workplace,E02000037
19629,E02004917,Area.of.workplace,E02000037
19630,E02000100,Area.of.workplace,E02000037
19631,E02000915,Area.of.workplace,E02000037
19632,E02000124,Area.of.workplace,E02000037
19633,E02004880,Area.of.workplace,E02000037
19634,E02000040,Area.of.workplace,E02000037
19635,E02000184,Area.of.workplace,E02000037
19636,E02000651,Area.of.workplace,E02000037
19637,E02000174,Area.of.workplace,E02000037
19638,E02004966,Area.of.workplace,E02000037
19639,E02004965,Area.of.workplace,E02000037
19640,E02004973,Area.of.workplace,E02000037
19641,E02003649,Area.of.workplace,E02000037
19642,E02000052,Area.of.workplace,E02000037
19643,E02004903,Area.of.workplace,E02000037
19644,E02000302,Area.of.workplace,E02000037
19645,E02004969,Area.of.workplace,E02000037
19646,E02000443,Area.of.workplace,E02000037
19647,E02000064,Area.of.workplace,E02000037
19648,E02000046,Area.of.workplace,E02000037
19649,E02000044,Area.of.workplace,E02000037
19650,E02000523,Area.of.workplace,E02000037
19651,E02000851,Area.of.workplace,E02000037
19652,E02000497,Area.of.workplace,E02000037
19653,E02000416,Area.of.workplace,E02000037
19654,E02000041,Area.of.workplace,E02000037
19655,E02000433,Area.of.workplace,E02000037
19656,E02004870,Area.of.workplace,E02000037
19657,E02000967,Area.of.workplace,E02000037
19658,E02000568,Area.of.workplace,E02000037
19659,E02000347,Area.of.workplace,E02000037
19660,E02000436,Area.of.workplace,E02000037
19661,E02004941,Area.of.workplace,E02000037
19662,E02000051,Area.of.workplace,E02000037
19663,E02006882,Area.of.workplace,E02000037
19664,E02000514,Area.of.workplace,E02000037
19665,E02000621,Area.of.workplace,E02000037
19666,E02002579,Area.of.workplace,E02000037
19667,E02000503,Area.of.workplace,E02000037
19668,E02000054,Area.of.workplace,E02000037
19669,E02000126,Area.of.workplace,E02000037
19670,E02000961,Area.of.workplace,E02000037
19671,E02004900,Area.of.workplace,E02000037
19672,E02000412,Area.of.workplace,E02000037
19673,E02000445,Area.of.workplace,E02000037
19674,E02004977,Area.of.workplace,E02000037
19675,E02000353,Area.of.workplace,E02000037
19676,E02000098,Area.of.workplace,E02000037
19677,E02000043,Area.of.workplace,E02000037
19678,E02000120,Area.of.workplace,E02000037
19679,E02000027,Area.of.workplace,E02000037
19680,E02000434,Area.of.workplace,E02000037
19681,E02004994,Area.of.workplace,E02000037
19682,E02000495,Area.of.workplace,E02000037
19683,E02000447,Area.of.workplace,E02000037
19684,E02000496,Area.of.workplace,E02000037
19685,E02000620,Area.of.workplace,E02000037
19686,E02004464,Area.of.workplace,E02000037
19687,E02000444,Area.of.workplace,E02000037
19688,E02000032,Area.of.workplace,E02000037
19689,E02000411,Area.of.workplace,E02000038
19690,E02000308,Area.of.workplace,E02000038
19691,E02004994,Area.of.workplace,E02000038
19692,E02006405,Area.of.workplace,E02000038
19693,E02004550,Area.of.workplace,E02000038
19694,E02000185,Area.of.workplace,E02000038
19695,E02000177,Area.of.workplace,E02000038
19696,E02000735,Area.of.workplace,E02000038
19697,E02000347,Area.of.workplace,E02000038
19698,E02000408,Area.of.workplace,E02000038
19699,E02004984,Area.of.workplace,E02000038
19700,E02000558,Area.of.workplace,E02000038
19701,E02004554,Area.of.workplace,E02000038
19702,E02000024,Area.of.workplace,E02000038
19703,E02000418,Area.of.workplace,E02000038
19704,E02000061,Area.of.workplace,E02000038
19705,E02000382,Area.of.workplace,E02000038
19706,E02000449,Area.of.workplace,E02000038
19707,E02000280,Area.of.workplace,E02000038
19708,E02000424,Area.of.workplace,E02000038
19709,E02005864,Area.of.workplace,E02000038
19710,E02004891,Area.of.workplace,E02000038
19711,E02004466,Area.of.workplace,E02000038
19712,E02004973,Area.of.workplace,E02000038
19713,E02000895,Area.of.workplace,E02000038
19714,E02000405,Area.of.workplace,E02000038
19715,E02003266,Area.of.workplace,E02000038
19716,E02006379,Area.of.workplace,E02000038
19717,E02004956,Area.of.workplace,E02000038
19718,E02000406,Area.of.workplace,E02000038
19719,E02000763,Area.of.workplace,E02000038
19720,E02004531,Area.of.workplace,E02000038
19721,E02000643,Area.of.workplace,E02000038
19722,E02000930,Area.of.workplace,E02000038
19723,E02000107,Area.of.workplace,E02000038
19724,E02000295,Area.of.workplace,E02000038
19725,E02000585,Area.of.workplace,E02000038
19726,E02004528,Area.of.workplace,E02000038
19727,E02000278,Area.of.workplace,E02000038
19728,E02000764,Area.of.workplace,E02000038
19729,E02000304,Area.of.workplace,E02000038
19730,E02003379,Area.of.workplace,E02000038
19731,E02000567,Area.of.workplace,E02000038
19732,E02000044,Area.of.workplace,E02000038
19733,E02000898,Area.of.workplace,E02000038
19734,E02004913,Area.of.workplace,E02000038
19735,E02000181,Area.of.workplace,E02000038
19736,E02003316,Area.of.workplace,E02000038
19737,E02000950,Area.of.workplace,E02000038
19738,E02000011,Area.of.workplace,E02000038
19739,E02000570,Area.of.workplace,E02000038
19740,E02000455,Area.of.workplace,E02000038
19741,E02000433,Area.of.workplace,E02000038
19742,E02000111,Area.of.workplace,E02000038
19743,E02000050,Area.of.workplace,E02000038
19744,E02003719,Area.of.workplace,E02000038
19745,E02003651,Area.of.workplace,E02000038
19746,E02000025,Area.of.workplace,E02000038
19747,E02000587,Area.of.workplace,E02000038
19748,E02003690,Area.of.workplace,E02000038
19749,E02000907,Area.of.workplace,E02000038
19750,E02004923,Area.of.workplace,E02000038
19751,E02006802,Area.of.workplace,E02000038
19752,E02000032,Area.of.workplace,E02000038
19753,E02000628,Area.of.workplace,E02000038
19754,E02000751,Area.of.workplace,E02000038
19755,E02004881,Area.of.workplace,E02000038
19756,E02005507,Area.of.workplace,E02000038
19757,E02000780,Area.of.workplace,E02000038
19758,E02000270,Area.of.workplace,E02000038
19759,E02000866,Area.of.workplace,E02000038
19760,E02004908,Area.of.workplace,E02000038
19761,E02000472,Area.of.workplace,E02000038
19762,E02004915,Area.of.workplace,E02000038
19763,E02000291,Area.of.workplace,E02000038
19764,E02000034,Area.of.workplace,E02000038
19765,E02000362,Area.of.workplace,E02000038
19766,E02000092,Area.of.workplace,E02000038
19767,E02000106,Area.of.workplace,E02000038
19768,E02000031,Area.of.workplace,E02000038
19769,E02000927,Area.of.workplace,E02000038
19770,E02000426,Area.of.workplace,E02000038
19771,E02000744,Area.of.workplace,E02000038
19772,E02000915,Area.of.workplace,E02000038
19773,E02000905,Area.of.workplace,E02000038
19774,E02000043,Area.of.workplace,E02000038
19775,E02004547,Area.of.workplace,E02000038
19776,E02000244,Area.of.workplace,E02000038
19777,E02000047,Area.of.workplace,E02000038
19778,E02000108,Area.of.workplace,E02000038
19779,E02000065,Area.of.workplace,E02000038
19780,E02004974,Area.of.workplace,E02000038
19781,E02000097,Area.of.workplace,E02000038
19782,E02003307,Area.of.workplace,E02000038
19783,E02000421,Area.of.workplace,E02000038
19784,E02000425,Area.of.workplace,E02000038
19785,E02000294,Area.of.workplace,E02000038
19786,E02000293,Area.of.workplace,E02000038
19787,E02003702,Area.of.workplace,E02000038
19788,E02000287,Area.of.workplace,E02000038
19789,E02000695,Area.of.workplace,E02000038
19790,E02006787,Area.of.workplace,E02000038
19791,E02000303,Area.of.workplace,E02000038
19792,E02000277,Area.of.workplace,E02000038
19793,E02004470,Area.of.workplace,E02000038
19794,E02000172,Area.of.workplace,E02000038
19795,E02000354,Area.of.workplace,E02000038
19796,E02000120,Area.of.workplace,E02000038
19797,E02000957,Area.of.workplace,E02000038
19798,E02003639,Area.of.workplace,E02000038
19799,E02000875,Area.of.workplace,E02000038
19800,E02000300,Area.of.workplace,E02000038
19801,E02000170,Area.of.workplace,E02000038
19802,E02000100,Area.of.workplace,E02000038
19803,E02000171,Area.of.workplace,E02000038
19804,E02000048,Area.of.workplace,E02000038
19805,E02000666,Area.of.workplace,E02000038
19806,E02000564,Area.of.workplace,E02000038
19807,E02004468,Area.of.workplace,E02000038
19808,E02004981,Area.of.workplace,E02000038
19809,E02000559,Area.of.workplace,E02000038
19810,E02000394,Area.of.workplace,E02000038
19811,E02000149,Area.of.workplace,E02000038
19812,E02000352,Area.of.workplace,E02000038
19813,E02000917,Area.of.workplace,E02000038
19814,E02000721,Area.of.workplace,E02000038
19815,E02000306,Area.of.workplace,E02000038
19816,E02000480,Area.of.workplace,E02000038
19817,E02000395,Area.of.workplace,E02000038
19818,E02000776,Area.of.workplace,E02000038
19819,E02000419,Area.of.workplace,E02000038
19820,E02004945,Area.of.workplace,E02000038
19821,E02000040,Area.of.workplace,E02000038
19822,E02000579,Area.of.workplace,E02000038
19823,E02000901,Area.of.workplace,E02000038
19824,E02000711,Area.of.workplace,E02000038
19825,E02006793,Area.of.workplace,E02000038
19826,E02004879,Area.of.workplace,E02000038
19827,E02000366,Area.of.workplace,E02000038
19828,E02000476,Area.of.workplace,E02000038
19829,E02000053,Area.of.workplace,E02000038
19830,E02000166,Area.of.workplace,E02000038
19831,E02000035,Area.of.workplace,E02000038
19832,E02000045,Area.of.workplace,E02000038
19833,E02004932,Area.of.workplace,E02000038
19834,E02000431,Area.of.workplace,E02000038
19835,E02004846,Area.of.workplace,E02000038
19836,E02000197,Area.of.workplace,E02000038
19837,E02000350,Area.of.workplace,E02000038
19838,E02000720,Area.of.workplace,E02000038
19839,E02000268,Area.of.workplace,E02000038
19840,E02004892,Area.of.workplace,E02000038
19841,E02000237,Area.of.workplace,E02000038
19842,E02000834,Area.of.workplace,E02000038
19843,E02000036,Area.of.workplace,E02000038
19844,E02000284,Area.of.workplace,E02000038
19845,E02000248,Area.of.workplace,E02000038
19846,E02000094,Area.of.workplace,E02000038
19847,E02000145,Area.of.workplace,E02000038
19848,E02000566,Area.of.workplace,E02000038
19849,E02004843,Area.of.workplace,E02000038
19850,E02000013,Area.of.workplace,E02000038
19851,E02000116,Area.of.workplace,E02000038
19852,E02000739,Area.of.workplace,E02000038
19853,E02000963,Area.of.workplace,E02000038
19854,E02004533,Area.of.workplace,E02000038
19855,E02000046,Area.of.workplace,E02000038
19856,E02000556,Area.of.workplace,E02000038
19857,E02004951,Area.of.workplace,E02000038
19858,E02000282,Area.of.workplace,E02000038
19859,E02000750,Area.of.workplace,E02000038
19860,E02005684,Area.of.workplace,E02000038
19861,E02000562,Area.of.workplace,E02000038
19862,E02000738,Area.of.workplace,E02000038
19863,E02000432,Area.of.workplace,E02000038
19864,E02000318,Area.of.workplace,E02000038
19865,E02004390,Area.of.workplace,E02000038
19866,E02000910,Area.of.workplace,E02000038
19867,E02000112,Area.of.workplace,E02000038
19868,E02000388,Area.of.workplace,E02000038
19869,E02000427,Area.of.workplace,E02000038
19870,E02000417,Area.of.workplace,E02000038
19871,E02004946,Area.of.workplace,E02000038
19872,E02000105,Area.of.workplace,E02000038
19873,E02004988,Area.of.workplace,E02000038
19874,E02000180,Area.of.workplace,E02000038
19875,E02000583,Area.of.workplace,E02000038
19876,E02003721,Area.of.workplace,E02000038
19877,E02004564,Area.of.workplace,E02000038
19878,E02000485,Area.of.workplace,E02000038
19879,E02006794,Area.of.workplace,E02000038
19880,E02000638,Area.of.workplace,E02000038
19881,E02000117,Area.of.workplace,E02000038
19882,E02000125,Area.of.workplace,E02000038
19883,E02000015,Area.of.workplace,E02000038
19884,E02004904,Area.of.workplace,E02000038
19885,E02004989,Area.of.workplace,E02000038
19886,E02000964,Area.of.workplace,E02000038
19887,E02000668,Area.of.workplace,E02000038
19888,E02005039,Area.of.workplace,E02000038
19889,E02004866,Area.of.workplace,E02000038
19890,E02000655,Area.of.workplace,E02000038
19891,E02000305,Area.of.workplace,E02000038
19892,E02000390,Area.of.workplace,E02000038
19893,E02000415,Area.of.workplace,E02000038
19894,E02004899,Area.of.workplace,E02000038
19895,E02000934,Area.of.workplace,E02000038
19896,E02000042,Area.of.workplace,E02000038
19897,E02000103,Area.of.workplace,E02000038
19898,E02000537,Area.of.workplace,E02000038
19899,E02000380,Area.of.workplace,E02000038
19900,E02000920,Area.of.workplace,E02000038
19901,E02000098,Area.of.workplace,E02000038
19902,E02000122,Area.of.workplace,E02000038
19903,E02000123,Area.of.workplace,E02000038
19904,E02000404,Area.of.workplace,E02000038
19905,E02004903,Area.of.workplace,E02000038
19906,E02000056,Area.of.workplace,E02000038
19907,E02000743,Area.of.workplace,E02000038
19908,E02000413,Area.of.workplace,E02000038
19909,E02000777,Area.of.workplace,E02000038
19910,E02000555,Area.of.workplace,E02000038
19911,E02000726,Area.of.workplace,E02000038
19912,E02000940,Area.of.workplace,E02000038
19913,E02000236,Area.of.workplace,E02000038
19914,E02004957,Area.of.workplace,E02000038
19915,E02000756,Area.of.workplace,E02000038
19916,E02000312,Area.of.workplace,E02000038
19917,E02000054,Area.of.workplace,E02000038
19918,E02000184,Area.of.workplace,E02000038
19919,E02000138,Area.of.workplace,E02000038
19920,E02004900,Area.of.workplace,E02000038
19921,E02000003,Area.of.workplace,E02000038
19922,E02000400,Area.of.workplace,E02000038
19923,E02000504,Area.of.workplace,E02000038
19924,E02000838,Area.of.workplace,E02000038
19925,E02000298,Area.of.workplace,E02000038
19926,E02000357,Area.of.workplace,E02000038
19927,E02004906,Area.of.workplace,E02000038
19928,E02000376,Area.of.workplace,E02000038
19929,E02004983,Area.of.workplace,E02000038
19930,E02000378,Area.of.workplace,E02000038
19931,E02000879,Area.of.workplace,E02000038
19932,E02000296,Area.of.workplace,E02000038
19933,E02000252,Area.of.workplace,E02000038
19934,E02000351,Area.of.workplace,E02000038
19935,E02000541,Area.of.workplace,E02000038
19936,E02000577,Area.of.workplace,E02000038
19937,E02000316,Area.of.workplace,E02000038
19938,E02000121,Area.of.workplace,E02000038
19939,E02000857,Area.of.workplace,E02000038
19940,E02003648,Area.of.workplace,E02000038
19941,E02000026,Area.of.workplace,E02000038
19942,E02000908,Area.of.workplace,E02000038
19943,E02000749,Area.of.workplace,E02000038
19944,E02000286,Area.of.workplace,E02000038
19945,E02000290,Area.of.workplace,E02000038
19946,E02000451,Area.of.workplace,E02000038
19947,E02003313,Area.of.workplace,E02000038
19948,E02004936,Area.of.workplace,E02000038
19949,E02000342,Area.of.workplace,E02000038
19950,E02000403,Area.of.workplace,E02000038
19951,E02003263,Area.of.workplace,E02000038
19952,E02000051,Area.of.workplace,E02000038
19953,E02000569,Area.of.workplace,E02000038
19954,E02000784,Area.of.workplace,E02000038
19955,E02004865,Area.of.workplace,E02000038
19956,E02004527,Area.of.workplace,E02000038
19957,E02004278,Area.of.workplace,E02000038
19958,E02000261,Area.of.workplace,E02000038
19959,E02000812,Area.of.workplace,E02000038
19960,E02003611,Area.of.workplace,E02000038
19961,E02003691,Area.of.workplace,E02000038
19962,E02003692,Area.of.workplace,E02000038
19963,E02004860,Area.of.workplace,E02000038
19964,E02000173,Area.of.workplace,E02000038
19965,E02000442,Area.of.workplace,E02000038
19966,E02004940,Area.of.workplace,E02000038
19967,E02000568,Area.of.workplace,E02000038
19968,E02004854,Area.of.workplace,E02000038
19969,E02000027,Area.of.workplace,E02000038
19970,E02000434,Area.of.workplace,E02000038
19971,E02000557,Area.of.workplace,E02000038
19972,E02000409,Area.of.workplace,E02000038
19973,E02003680,Area.of.workplace,E02000038
19974,E02000416,Area.of.workplace,E02000038
19975,E02004862,Area.of.workplace,E02000038
19976,E02000733,Area.of.workplace,E02000038
19977,E02000565,Area.of.workplace,E02000038
19978,E02000240,Area.of.workplace,E02000038
19979,E02000919,Area.of.workplace,E02000038
19980,E02000863,Area.of.workplace,E02000038
19981,E02000575,Area.of.workplace,E02000038
19982,E02004595,Area.of.workplace,E02000038
19983,E02004969,Area.of.workplace,E02000038
19984,E02006918,Area.of.workplace,E02000038
19985,E02000062,Area.of.workplace,E02000038
19986,E02004863,Area.of.workplace,E02000038
19987,E02000154,Area.of.workplace,E02000038
19988,E02000297,Area.of.workplace,E02000038
19989,E02004941,Area.of.workplace,E02000038
19990,E02004898,Area.of.workplace,E02000038
19991,E02000407,Area.of.workplace,E02000038
19992,E02004916,Area.of.workplace,E02000038
19993,E02000279,Area.of.workplace,E02000038
19994,E02004902,Area.of.workplace,E02000038
19995,E02000114,Area.of.workplace,E02000038
19996,E02000397,Area.of.workplace,E02000038
19997,E02000301,Area.of.workplace,E02000038
19998,E02000422,Area.of.workplace,E02000038
19999,E02000677,Area.of.workplace,E02000038
20000,E02000680,Area.of.workplace,E02000038
20001,E02000832,Area.of.workplace,E02000038
20002,E02000430,Area.of.workplace,E02000038
20003,E02004986,Area.of.workplace,E02000038
20004,E02000722,Area.of.workplace,E02000038
20005,E02000057,Area.of.workplace,E02000038
20006,E02003750,Area.of.workplace,E02000038
20007,E02004851,Area.of.workplace,E02000038
20008,E02006348,Area.of.workplace,E02000038
20009,E02000560,Area.of.workplace,E02000038
20010,E02004483,Area.of.workplace,E02000038
20011,E02000283,Area.of.workplace,E02000038
20012,E02000410,Area.of.workplace,E02000038
20013,E02000694,Area.of.workplace,E02000038
20014,E02000885,Area.of.workplace,E02000038
20015,E02000508,Area.of.workplace,E02000038
20016,E02000456,Area.of.workplace,E02000038
20017,E02000243,Area.of.workplace,E02000038
20018,E02004993,Area.of.workplace,E02000038
20019,E02004877,Area.of.workplace,E02000038
