,MSOA code,Net annual income (£),Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Pop_Per_Hectare,percent_at_or_above_qual_level_4
3805,E02005508,33600.0,2.3,0.7,25.4
3806,E02005509,27400.0,3.9,2.8,15.8
3807,E02005510,32200.0,2.9,0.8,18.8
3808,E02005511,30600.0,3.5,11.2,13.8
3809,E02005512,33200.0,3.7,0.6,20.6
3810,E02005513,31600.0,3.1,4.7,17.5
3811,E02005514,32400.0,3.1,0.2,19.3
3812,E02005515,34700.0,2.3,0.8,25.7
3813,E02005516,35300.0,2.6,0.5,24.8
3814,E02005517,30800.0,6.0,7.6,9.7
3815,E02005518,34900.0,3.3,42.0,15.3
3816,E02005519,29800.0,5.4,4.8,11.0
3817,E02005520,32500.0,3.0,1.7,25.4
3818,E02005521,34500.0,2.6,0.6,26.7
3819,E02005522,37400.0,2.5,1.3,24.9
3820,E02005523,36600.0,2.7,1.6,20.1
3821,E02005524,33400.0,2.0,3.7,17.4
3822,E02005525,37200.0,2.4,11.8,25.3
3823,E02005526,33800.0,2.3,9.6,24.1
3824,E02005527,35000.0,2.4,2.4,27.8
3825,E02005528,33200.0,2.7,26.4,22.1
3826,E02005529,33400.0,2.3,18.0,14.6
3827,E02005530,33400.0,2.3,26.9,16.7
3828,E02005531,34600.0,3.0,17.2,18.4
3829,E02005532,34000.0,1.9,14.4,16.1
3830,E02005533,34800.0,2.5,1.4,26.4
3831,E02005534,32800.0,2.7,25.3,20.6
3832,E02005535,40400.0,2.9,17.3,32.6
3833,E02005536,35300.0,3.1,1.7,29.0
3834,E02005537,33800.0,2.8,1.0,23.3
3835,E02005538,29600.0,3.9,2.8,17.0
3836,E02005539,31500.0,3.5,1.0,19.4
3837,E02005540,29200.0,4.0,8.5,13.3
3838,E02005541,27700.0,7.1,26.3,10.8
3839,E02005542,25500.0,9.5,10.7,9.4
3840,E02005543,26400.0,12.8,37.5,8.7
3841,E02005544,27900.0,9.2,22.5,10.1
3842,E02005545,32000.0,2.9,13.4,16.2
3843,E02005546,27700.0,6.7,52.9,10.8
3844,E02005547,32400.0,5.5,35.6,21.3
3845,E02005548,27500.0,6.4,43.5,12.7
3846,E02005549,31900.0,3.3,2.4,16.5
3847,E02005550,30500.0,3.5,7.2,16.7
3848,E02005551,26300.0,3.8,1.9,20.0
3849,E02005552,32700.0,3.1,0.3,27.5
3850,E02005553,27800.0,2.5,1.2,19.7
3851,E02005554,31100.0,2.7,0.6,21.9
3852,E02005555,42400.0,2.3,1.9,30.1
3853,E02005556,31200.0,2.5,28.8,15.6
3854,E02005557,26500.0,7.5,14.6,8.0
3855,E02005558,30700.0,3.0,1.0,15.7
3856,E02005559,30800.0,5.1,29.8,15.9
3857,E02005560,31600.0,5.2,30.7,20.1
3858,E02005561,29000.0,6.2,7.6,15.2
3859,E02005562,32100.0,2.3,0.5,22.5
3860,E02005563,31600.0,3.6,0.9,15.7
3861,E02005564,31400.0,2.6,1.1,22.3
3862,E02005565,31000.0,3.6,1.0,18.6
3863,E02005566,31400.0,3.6,0.8,16.7
3864,E02005567,32000.0,4.0,21.0,19.2
3865,E02005568,31000.0,2.9,0.5,20.6
3866,E02005569,30900.0,3.1,0.5,16.8
3867,E02005570,30200.0,2.5,20.0,26.2
3868,E02005571,34700.0,2.6,0.4,27.7
3869,E02005572,26300.0,4.5,17.8,20.0
3870,E02005573,31400.0,2.5,1.4,26.7
3871,E02005574,32600.0,3.0,1.3,24.9
3872,E02005575,30900.0,2.7,0.5,26.8
3873,E02005576,31300.0,4.2,1.4,20.6
3874,E02005577,36800.0,2.6,0.6,24.5
3875,E02005578,32800.0,3.3,0.4,21.0
3876,E02005579,29300.0,4.2,7.4,17.1
3877,E02005580,28200.0,3.2,8.7,16.8
3878,E02005581,28700.0,2.9,0.8,22.5
3879,E02005582,29000.0,3.8,1.1,18.5
3880,E02005583,32200.0,3.3,0.9,23.7
3881,E02005584,32600.0,6.2,19.5,17.6
3882,E02005585,30700.0,7.5,40.5,16.6
3883,E02005586,37100.0,4.7,74.1,28.8
3884,E02005587,29200.0,5.5,42.9,12.7
3885,E02005588,32800.0,5.1,37.4,21.0
3886,E02005589,32500.0,5.9,32.7,20.7
3887,E02005590,28100.0,6.8,45.9,29.8
3888,E02005592,42400.0,2.7,82.8,51.3
3889,E02005593,25900.0,2.9,43.7,19.4
3890,E02005594,33700.0,3.7,57.5,42.1
3891,E02005595,45800.0,2.7,17.9,44.1
3892,E02005596,29000.0,5.9,29.4,20.1
3893,E02006907,33800.0,5.5,30.8,41.1
3894,E02006908,34400.0,5.6,41.9,33.0
3895,E02005597,35200.0,3.5,13.0,22.5
3896,E02005598,46100.0,2.2,1.8,39.8
3897,E02005599,37100.0,2.8,5.8,30.5
3898,E02005600,32400.0,2.2,0.9,29.7
3899,E02005601,29900.0,3.2,5.7,24.4
3900,E02005602,38300.0,2.2,1.6,32.2
3901,E02005603,39200.0,2.7,3.1,28.8
3902,E02005604,37400.0,2.2,1.1,29.2
3903,E02005605,36000.0,2.0,1.4,31.4
3904,E02005606,34800.0,3.2,0.5,26.8
3905,E02005607,35800.0,2.7,1.3,25.1
3906,E02005608,34600.0,2.9,0.7,24.5
3907,E02005609,32200.0,3.3,1.6,21.5
3908,E02005610,33900.0,2.5,0.7,23.6
3909,E02005611,31200.0,3.4,10.5,18.8
3910,E02006227,33900.0,2.7,0.6,29.8
3911,E02006228,33800.0,3.0,1.1,23.9
3912,E02006229,33500.0,3.1,2.1,23.5
3913,E02006230,33300.0,2.8,1.8,25.7
3914,E02006231,36700.0,2.8,1.8,26.6
3915,E02006232,35400.0,2.9,1.0,25.1
3916,E02006233,30300.0,4.8,16.7,19.3
3917,E02006234,34300.0,3.7,14.8,16.0
3918,E02006235,36800.0,2.3,0.7,34.0
3919,E02006236,37500.0,2.1,1.8,30.4
3920,E02006237,34400.0,2.0,1.3,31.5
3921,E02006238,30200.0,3.6,1.3,12.8
3922,E02006239,31400.0,2.5,1.5,14.1
3923,E02006240,31800.0,2.5,0.9,20.3
3924,E02006241,31700.0,3.6,7.9,15.9
3925,E02006242,38700.0,2.3,0.9,26.9
3926,E02006243,34900.0,3.7,5.4,21.9
3927,E02006826,34800.0,3.8,10.2,22.4
3928,E02006245,29600.0,5.2,21.3,12.0
3929,E02006246,36600.0,3.0,40.3,20.9
3930,E02006247,30800.0,5.4,34.7,14.1
3931,E02006248,32500.0,3.6,30.9,23.5
3932,E02006249,40100.0,3.6,20.9,41.8
3933,E02006250,31200.0,9.5,93.5,21.0
3934,E02006251,33600.0,6.2,57.5,27.4
3935,E02006252,33900.0,3.5,55.8,26.2
3936,E02006253,36800.0,2.7,28.7,27.8
3937,E02006254,30800.0,6.6,27.9,17.0
3938,E02006255,38200.0,4.0,43.4,25.8
3939,E02006256,31200.0,6.7,51.4,18.8
3940,E02006257,28500.0,5.0,53.5,10.0
3941,E02006258,32600.0,6.0,22.4,17.8
3942,E02006259,32300.0,6.7,36.5,13.1
3943,E02006260,30900.0,5.8,27.9,11.1
3944,E02006261,37200.0,2.4,0.7,28.5
3945,E02006262,34600.0,2.4,0.8,29.0
3946,E02006263,37200.0,2.2,0.5,26.8
3947,E02006264,42500.0,1.8,1.7,30.3
3948,E02006265,35700.0,2.2,1.0,23.9
3949,E02006266,36500.0,2.7,1.4,29.6
3950,E02006267,37200.0,2.3,0.6,33.7
3951,E02006268,28700.0,4.7,30.2,15.1
3952,E02006269,34800.0,2.1,1.7,26.3
3953,E02006270,38000.0,3.0,13.8,24.9
3954,E02006271,33600.0,2.5,1.7,23.2
3955,E02006272,33600.0,2.6,1.7,22.9
3956,E02006273,35900.0,1.9,1.0,24.1
3957,E02006274,33500.0,2.4,0.6,26.0
3958,E02006275,30600.0,3.9,39.5,11.6
3959,E02006276,34000.0,2.2,0.9,29.2
3960,E02006277,46100.0,1.9,25.2,34.1
3961,E02006278,35400.0,3.1,31.2,33.6
3962,E02006279,36000.0,3.0,29.7,23.6
3963,E02006280,36200.0,2.0,0.6,30.9
3964,E02006281,34100.0,2.8,14.3,30.1
3965,E02006282,35000.0,2.4,0.6,29.6
3966,E02006283,34500.0,3.2,0.7,23.7
3967,E02006284,33200.0,4.4,34.9,16.1
3968,E02006285,44800.0,3.7,17.9,17.5
3969,E02006286,34300.0,4.7,27.2,14.6
3970,E02006287,34300.0,2.3,0.3,33.5
3971,E02006288,38100.0,2.4,0.6,35.4
3972,E02006289,34900.0,2.7,1.2,25.7
3973,E02006290,33900.0,2.9,2.3,22.7
3974,E02006291,37700.0,2.7,3.3,33.5
3975,E02006292,39900.0,2.2,0.8,37.9
3976,E02006293,31600.0,2.3,0.5,28.3
3977,E02006294,33100.0,2.8,16.3,36.7
3978,E02006295,35300.0,2.5,15.2,26.5
3979,E02006296,39900.0,2.2,4.5,35.7
3980,E02006297,43900.0,1.6,2.7,32.5
3981,E02006298,32800.0,2.9,2.8,19.9
3982,E02006299,33400.0,2.4,12.7,27.9
3983,E02006300,28400.0,5.3,15.1,12.8
3984,E02006301,29600.0,4.4,26.6,24.2
3985,E02006302,32400.0,2.7,1.8,22.8
3986,E02006303,26800.0,7.2,39.1,11.2
3987,E02006304,30300.0,3.2,23.6,13.5
3988,E02006305,26700.0,8.1,69.7,11.9
3989,E02006306,28800.0,5.1,24.9,14.3
3990,E02006307,35200.0,2.9,24.5,20.1
3991,E02006308,26700.0,9.6,35.6,15.3
3992,E02006309,27100.0,5.7,36.2,11.9
3993,E02006310,36400.0,3.6,10.4,17.3
3994,E02006311,30800.0,3.4,11.1,20.2
3995,E02006312,35100.0,3.2,1.2,22.0
3996,E02006313,31300.0,4.1,6.8,16.6
3997,E02006314,34400.0,3.1,0.9,23.8
3998,E02006315,34800.0,2.9,0.8,27.5
3999,E02006316,30500.0,2.8,1.6,21.1
4000,E02000166,40500.0,4.6,30.1,54.3
4001,E02000167,44600.0,2.5,45.3,68.3
4002,E02000168,44800.0,4.1,139.6,57.9
4003,E02000169,46300.0,2.5,81.9,58.6
4004,E02000170,46100.0,3.9,125.6,60.9
4005,E02000171,46200.0,4.3,181.5,59.0
4006,E02000172,38700.0,6.0,180.9,37.0
4007,E02000173,44800.0,3.1,127.0,67.1
4008,E02000174,41800.0,4.8,187.6,52.2
4009,E02000175,50900.0,4.2,162.5,62.3
4010,E02000176,49600.0,2.8,192.4,69.2
4011,E02000177,38700.0,5.8,199.8,42.5
4012,E02000178,42200.0,5.4,185.5,49.1
4013,E02000179,39800.0,4.9,198.1,54.4
4014,E02000180,39900.0,4.7,201.2,47.4
4015,E02000181,47000.0,3.0,169.0,67.8
4016,E02000182,44900.0,4.1,108.7,53.3
4017,E02000183,41400.0,3.4,111.6,57.8
4018,E02000184,41100.0,5.8,154.2,38.5
4019,E02000185,38800.0,6.5,210.8,41.0
4020,E02000186,38300.0,4.2,81.5,51.4
4021,E02000187,35500.0,6.0,114.5,25.1
4022,E02000188,35400.0,5.6,174.9,26.6
4023,E02000189,32800.0,6.3,237.9,38.5
4024,E02000190,32800.0,4.5,230.5,40.1
4025,E02000191,32500.0,2.2,135.5,43.8
4026,E02000192,40500.0,5.7,203.1,44.9
4027,E02000193,36100.0,3.6,78.9,51.8
4028,E02000001,47200.0,3.0,30.0,68.4
4029,E02000345,34100.0,6.4,158.4,23.3
4030,E02000346,38600.0,8.1,134.9,25.9
4031,E02000347,36700.0,6.3,128.9,32.6
4032,E02000348,36300.0,7.6,162.0,24.0
4033,E02000350,43800.0,5.5,177.0,47.1
4034,E02000351,51600.0,4.2,185.1,57.6
4035,E02000352,41600.0,5.1,95.6,47.5
4036,E02000353,49500.0,4.6,146.7,56.4
4037,E02000354,39000.0,8.6,135.0,39.3
4038,E02000355,42000.0,7.8,141.5,45.3
4039,E02000356,49300.0,5.1,184.6,57.3
4040,E02000357,33700.0,10.0,43.8,23.6
4041,E02000358,45500.0,6.6,193.0,47.9
4042,E02000359,41900.0,7.6,154.6,41.3
4043,E02000360,37600.0,8.5,221.0,37.1
4044,E02000361,45900.0,8.2,150.9,45.9
4045,E02000362,39800.0,8.0,57.4,35.6
4046,E02000363,36200.0,10.8,202.4,28.1
4047,E02000364,44700.0,6.7,155.3,52.4
4048,E02000365,44800.0,5.4,160.1,52.5
4049,E02000366,37100.0,7.0,144.4,38.3
4050,E02000367,48900.0,6.2,156.9,52.2
4051,E02000368,39200.0,8.2,167.6,35.7
4052,E02000369,43400.0,7.5,221.5,41.2
4053,E02000370,43400.0,8.0,204.2,40.4
4054,E02000371,44900.0,5.2,162.2,49.6
4055,E02006918,38200.0,9.1,179.4,33.6
4056,E02006921,35200.0,8.1,190.4,23.2
4057,E02000372,38100.0,6.7,28.7,31.9
4058,E02000373,36100.0,8.6,165.4,22.0
4059,E02000374,43700.0,5.3,137.2,41.0
4060,E02000375,43000.0,6.6,93.5,44.1
4061,E02000376,45900.0,5.9,168.5,47.7
4062,E02000377,41800.0,5.8,185.8,43.6
4063,E02000378,47800.0,4.8,222.0,56.6
4064,E02000379,45600.0,5.1,115.6,51.3
4065,E02000380,48900.0,3.5,166.0,54.0
4066,E02000381,45100.0,3.9,144.1,57.7
4067,E02000382,46500.0,5.3,96.0,54.3
4068,E02000383,48000.0,4.8,149.1,54.0
4069,E02000384,36700.0,6.0,93.9,41.6
4070,E02000385,48500.0,3.4,150.7,62.9
4071,E02000386,41900.0,6.5,185.1,40.6
4072,E02000387,46000.0,4.5,147.6,46.5
4073,E02000388,45900.0,3.7,163.6,51.9
4074,E02000389,48700.0,2.9,133.8,54.9
4075,E02000390,46900.0,4.4,183.6,49.7
4076,E02000391,44900.0,3.9,120.1,54.8
4077,E02000392,53500.0,4.5,171.8,56.7
4078,E02000393,57300.0,3.1,165.6,61.4
4079,E02000394,39900.0,4.4,139.4,48.1
4080,E02000395,54100.0,3.2,63.8,62.5
4081,E02000396,46900.0,4.5,112.9,49.5
4082,E02000397,44700.0,7.1,152.1,36.9
4083,E02000398,31900.0,10.7,66.2,18.9
4084,E02000400,46900.0,5.5,61.2,40.9
4085,E02000401,35400.0,7.7,90.0,20.0
4086,E02000402,31900.0,7.8,71.3,21.4
4087,E02000403,45000.0,5.9,96.4,37.1
4088,E02000404,38300.0,6.5,122.7,28.5
4089,E02000405,50900.0,4.0,36.5,59.5
4090,E02000406,39500.0,6.9,157.7,32.1
4091,E02000407,35900.0,6.6,147.3,24.2
4092,E02000408,33400.0,8.0,163.3,20.4
4093,E02000409,36600.0,8.2,92.4,25.0
4094,E02000410,49000.0,4.0,89.2,59.7
4095,E02000411,37000.0,6.9,76.7,25.8
4096,E02000412,39900.0,6.7,101.6,35.4
4097,E02000413,46300.0,3.9,62.6,57.7
4098,E02000414,42500.0,7.6,174.2,30.9
4099,E02000415,42600.0,6.0,102.7,35.5
4100,E02000416,44200.0,6.5,127.6,47.9
4101,E02000417,53000.0,3.7,62.1,63.6
4102,E02000418,48100.0,3.5,76.1,61.5
4103,E02000419,48200.0,5.8,139.5,44.3
4104,E02000420,38900.0,7.9,142.8,29.4
4105,E02000421,35400.0,7.5,105.5,29.0
4106,E02000422,39200.0,7.1,156.0,30.3
4107,E02000423,46500.0,5.3,134.0,40.4
4108,E02000424,46800.0,5.9,103.3,56.0
4109,E02000425,37000.0,5.3,145.4,21.9
4110,E02000426,44200.0,2.9,27.6,59.7
4111,E02000427,49000.0,5.2,64.9,49.0
4112,E02000428,40300.0,7.1,137.4,30.6
4113,E02000429,51500.0,3.4,72.0,68.1
4114,E02000430,49800.0,4.1,109.6,65.5
4115,E02000431,50500.0,3.2,102.0,69.8
4116,E02000432,48400.0,4.9,118.3,60.7
4117,E02006794,32400.0,9.4,124.1,21.4
4118,E02000554,39800.0,7.0,157.3,40.1
4119,E02000555,44500.0,5.8,166.3,46.0
4120,E02000556,46800.0,5.8,175.2,48.4
4121,E02000557,39300.0,6.5,125.3,45.1
4122,E02000558,37300.0,8.6,211.8,30.1
4123,E02000559,54300.0,3.7,182.5,61.0
4124,E02000560,45100.0,5.1,179.1,50.3
4125,E02000561,48300.0,3.7,139.5,58.5
4126,E02000562,44200.0,5.7,136.4,51.6
4127,E02000563,38900.0,6.3,148.6,38.4
4128,E02000564,47000.0,4.8,170.9,54.1
4129,E02000565,43600.0,6.0,176.6,45.4
4130,E02000566,52100.0,4.0,134.1,60.6
4131,E02000567,44800.0,5.2,173.6,51.9
4132,E02000568,35800.0,6.1,143.0,31.8
4133,E02000569,44400.0,5.8,158.8,47.8
4134,E02000570,54000.0,4.1,165.6,62.9
4135,E02000571,44100.0,6.5,184.6,43.8
4136,E02000572,37400.0,6.6,202.1,31.5
4137,E02000573,50100.0,4.1,143.4,62.7
4138,E02000574,42600.0,4.4,157.7,50.5
4139,E02000575,42100.0,3.7,162.8,50.2
4140,E02000576,38800.0,6.4,156.6,39.7
4141,E02000577,34900.0,8.7,77.5,27.6
4142,E02000578,32700.0,8.4,113.9,26.9
4143,E02000579,40000.0,5.4,133.4,45.8
4144,E02000580,39600.0,6.9,202.0,45.9
4145,E02000581,36900.0,7.7,153.5,30.5
4146,E02000582,42900.0,3.3,148.9,60.8
4147,E02000583,44000.0,3.9,120.8,61.4
4148,E02000584,40300.0,2.7,88.2,62.4
4149,E02000585,43000.0,3.9,88.4,59.0
4150,E02000586,54700.0,2.6,145.9,61.0
4151,E02000587,49000.0,2.5,142.3,62.3
4152,E02000588,52100.0,2.1,102.4,59.5
4153,E02000589,42100.0,4.0,234.2,58.3
4154,E02000590,39700.0,4.3,149.0,49.4
4155,E02000591,41600.0,5.4,189.1,51.5
4156,E02000592,62600.0,2.3,121.8,65.2
4157,E02000593,46000.0,4.2,162.3,58.0
4158,E02000594,43500.0,2.9,100.6,56.1
4159,E02000595,41200.0,2.9,118.2,55.9
4160,E02000596,42700.0,2.5,140.6,56.6
4161,E02000597,36300.0,6.2,183.1,38.9
4162,E02000619,41400.0,6.6,165.8,40.5
4163,E02000620,45100.0,5.4,144.8,50.4
4164,E02000621,47300.0,5.2,160.9,51.6
4165,E02000622,48900.0,5.2,115.2,52.3
4166,E02000623,41800.0,7.1,176.9,35.6
4167,E02000624,43300.0,7.3,154.9,42.7
4168,E02000625,41400.0,7.3,151.0,35.2
4169,E02000626,37900.0,9.4,151.8,29.9
4170,E02000627,46900.0,6.5,189.9,49.6
4171,E02000628,38000.0,7.7,148.9,30.7
4172,E02000629,53000.0,4.4,144.4,59.7
4173,E02000630,52800.0,4.5,118.8,62.6
4174,E02000631,48300.0,4.9,88.6,51.6
4175,E02000632,55100.0,3.9,177.6,65.5
4176,E02000633,41500.0,7.0,145.2,46.4
4177,E02000634,41100.0,5.3,132.1,51.4
4178,E02000635,44900.0,6.6,74.3,53.0
4179,E02000636,54400.0,2.8,89.1,69.2
4180,E02000637,53600.0,4.9,154.8,57.4
4181,E02000638,41000.0,6.5,158.2,42.5
4182,E02000639,39900.0,7.9,141.3,33.9
4183,E02000640,47500.0,4.5,120.4,58.7
4184,E02000641,34400.0,8.4,143.3,31.1
4185,E02000642,45100.0,6.0,90.9,48.6
4186,E02000643,45100.0,5.4,136.4,47.9
4187,E02000644,44900.0,5.9,100.1,45.9
4188,E02000645,47100.0,5.8,86.2,48.7
4189,E02000646,51000.0,4.5,109.8,47.7
4190,E02000647,44800.0,6.1,96.1,41.4
4191,E02000648,36100.0,9.1,119.2,28.8
4192,E02000649,46600.0,6.0,131.0,44.6
4193,E02000650,41000.0,7.4,101.0,40.0
4194,E02000651,46100.0,6.1,81.4,41.3
4195,E02000652,39100.0,6.1,113.6,29.2
4196,E02006801,42100.0,4.4,96.2,49.0
4197,E02000653,44200.0,7.4,168.2,38.4
4198,E02000654,39600.0,8.7,91.6,28.2
4199,E02000655,41800.0,7.1,95.6,36.0
4200,E02000657,41600.0,5.2,111.7,42.7
4201,E02000658,43000.0,5.8,114.7,45.0
4202,E02000659,48700.0,6.5,77.9,49.2
4203,E02000660,47900.0,5.5,105.0,52.6
4204,E02000661,46000.0,3.9,52.9,57.7
4205,E02000662,44500.0,6.1,114.5,42.3
4206,E02000663,53900.0,5.4,112.8,47.0
4207,E02000664,41500.0,7.0,101.3,40.2
4208,E02000665,48400.0,5.3,109.1,47.4
4209,E02000666,50100.0,5.2,77.4,41.9
4210,E02000667,47300.0,5.0,96.4,45.7
4211,E02000668,46000.0,4.1,74.3,44.6
4212,E02000669,46300.0,6.0,127.4,44.3
4213,E02000670,37500.0,7.2,106.9,31.5
4214,E02000671,46400.0,5.6,87.9,44.6
4215,E02000672,41700.0,7.3,86.0,33.9
4216,E02000673,50300.0,4.7,82.0,50.8
4217,E02000674,45400.0,5.9,106.0,34.2
4218,E02000675,42900.0,5.1,62.6,33.4
4219,E02000676,48300.0,5.0,111.4,44.1
4220,E02000677,42800.0,5.7,71.5,34.2
4221,E02000678,37300.0,6.5,66.3,23.5
4222,E02000679,39600.0,6.1,89.0,39.0
4223,E02000680,45900.0,6.4,100.2,41.3
4224,E02000681,39500.0,6.4,64.5,25.1
4225,E02000682,38400.0,7.0,75.6,22.1
4226,E02000683,35200.0,6.7,67.6,23.7
4227,E02000685,41700.0,6.7,87.3,36.2
4228,E02000686,35900.0,8.2,43.0,21.4
4229,E02000687,41700.0,5.5,108.8,36.9
4230,E02006783,35900.0,7.6,81.4,19.0
4231,E02006784,35600.0,7.4,56.6,21.2
4232,E02006798,42600.0,8.2,98.7,33.4
4233,E02000714,40400.0,7.1,150.5,31.8
4234,E02000715,35400.0,8.4,182.2,24.1
4235,E02000716,37600.0,7.7,50.2,30.1
4236,E02000717,35400.0,6.9,173.3,29.2
4237,E02000718,38300.0,7.8,121.0,24.2
4238,E02000719,39300.0,6.7,126.0,32.2
4239,E02000720,41900.0,6.4,150.7,32.8
4240,E02000721,37700.0,6.6,167.9,27.3
4241,E02000722,44900.0,6.5,190.5,36.6
4242,E02000723,38500.0,5.9,158.4,31.8
4243,E02000724,40000.0,6.8,201.2,28.5
4244,E02000725,45100.0,6.3,129.1,40.2
4245,E02000726,50400.0,6.4,73.5,41.0
4246,E02000727,39500.0,6.1,218.1,31.7
4247,E02000728,39200.0,6.4,124.6,32.1
4248,E02000729,45300.0,6.4,105.1,29.7
4249,E02000730,39400.0,6.5,181.1,30.9
4250,E02000731,39300.0,5.7,189.3,34.6
4251,E02000732,38500.0,7.7,181.9,26.4
4252,E02000733,37300.0,7.3,140.1,28.2
4253,E02000734,38600.0,7.6,201.7,29.0
4254,E02000735,34400.0,6.5,156.8,28.4
4255,E02000736,33600.0,7.5,72.9,24.9
4256,E02000737,36500.0,6.5,121.4,26.5
4257,E02000738,41300.0,5.6,198.4,29.8
4258,E02000739,35300.0,7.3,170.6,27.5
4259,E02000740,39400.0,9.0,56.3,27.2
4260,E02000741,39100.0,7.4,118.5,26.2
4261,E02000742,38600.0,7.3,111.5,24.6
4262,E02000743,35500.0,9.0,162.7,21.9
4263,E02000744,36500.0,7.7,158.7,23.3
4264,E02000745,40800.0,6.9,116.2,25.9
4265,E02000746,38600.0,6.5,20.2,28.2
4266,E02000747,46000.0,6.3,70.8,37.8
4267,E02000748,38300.0,6.1,49.2,28.4
4268,E02000749,36800.0,7.7,61.8,21.9
4269,E02000750,55400.0,6.4,44.7,42.7
4270,E02000807,57200.0,3.9,132.5,57.0
4271,E02000808,47400.0,4.4,107.0,53.3
4272,E02000809,58500.0,3.3,183.6,68.2
4273,E02000810,43200.0,6.4,195.4,40.9
4274,E02000812,42900.0,5.3,151.9,46.0
4275,E02000813,43100.0,6.4,119.9,37.7
4276,E02000814,51500.0,4.2,100.4,57.2
4277,E02000815,48900.0,3.8,166.1,48.3
4278,E02000816,39800.0,7.0,137.8,30.8
4279,E02000817,35300.0,7.9,109.8,25.9
4280,E02000818,37700.0,6.2,142.0,34.9
4281,E02000819,37900.0,6.5,165.3,30.2
4282,E02000820,41900.0,6.7,229.6,41.3
4283,E02000821,36300.0,8.3,115.2,26.7
4284,E02000822,36700.0,8.4,150.1,28.4
4285,E02000823,39100.0,6.6,138.5,36.5
4286,E02000824,38100.0,8.9,101.2,27.2
4287,E02000825,37300.0,8.5,178.7,30.6
4288,E02000826,38000.0,7.4,167.8,35.9
4289,E02000827,35800.0,7.3,161.4,34.2
4290,E02000828,40000.0,8.7,135.5,30.3
4291,E02000829,41200.0,8.5,147.8,34.7
4292,E02000830,46600.0,5.4,112.6,52.0
4293,E02000831,45300.0,5.3,124.3,48.7
4294,E02000832,37700.0,6.3,127.7,33.9
4295,E02000833,46100.0,5.9,107.4,41.2
4296,E02000834,49900.0,4.2,82.2,58.6
4297,E02000835,46200.0,6.4,53.9,43.8
4298,E02000836,56000.0,3.9,114.2,58.3
4299,E02000837,56900.0,2.7,40.4,65.9
4300,E02000838,47700.0,4.6,90.6,50.3
4301,E02000839,43300.0,4.8,30.6,50.3
4302,E02006802,36700.0,6.0,116.6,40.0
4303,E02000864,37700.0,7.8,81.7,30.7
4304,E02000865,37400.0,7.8,181.2,36.2
4305,E02000866,45900.0,5.6,95.6,46.2
4306,E02000867,45000.0,5.1,156.8,49.1
4307,E02000868,44100.0,5.6,205.3,44.1
4308,E02000869,41300.0,6.8,204.4,43.2
4309,E02000870,37200.0,6.8,175.3,37.9
4310,E02000871,39100.0,8.8,170.8,28.8
4311,E02000872,46300.0,6.8,198.6,44.4
4312,E02000873,33400.0,5.7,213.7,31.5
4313,E02000874,36700.0,6.8,234.3,30.6
4314,E02000875,41800.0,8.7,203.7,30.5
4315,E02000876,40600.0,7.2,151.1,40.1
4316,E02000877,38500.0,8.6,159.8,30.2
4317,E02000878,43100.0,7.4,183.9,44.4
4318,E02000879,34100.0,6.3,208.6,31.0
4319,E02000880,38400.0,6.3,176.6,34.1
4320,E02000881,37100.0,9.5,129.8,24.8
4321,E02000882,40200.0,9.1,182.4,28.8
4322,E02000883,35100.0,9.8,189.6,22.2
4323,E02000884,48500.0,5.5,240.8,51.4
4324,E02000885,35100.0,8.0,229.0,27.7
4325,E02000886,49400.0,6.1,187.3,47.7
4326,E02000887,40100.0,8.6,192.0,27.7
4327,E02000888,48500.0,6.2,193.7,45.8
4328,E02000889,48900.0,5.2,146.4,50.2
4329,E02000890,52500.0,3.2,118.8,65.9
4330,E02000891,54700.0,5.7,127.0,55.9
4331,E02000893,45100.0,5.9,112.8,41.1
4332,E02000894,54200.0,5.4,214.9,56.5
4333,E02006853,53400.0,6.8,211.6,52.0
4334,E02006854,55000.0,4.1,87.9,64.3
4335,E02000923,50400.0,3.1,75.4,57.5
4336,E02000924,44900.0,5.6,68.0,44.3
4337,E02000925,41600.0,5.9,179.7,39.4
4338,E02000926,51500.0,4.1,173.3,55.3
4339,E02000927,47700.0,4.4,163.5,50.0
4340,E02000928,53500.0,2.7,91.0,66.5
4341,E02000929,39300.0,7.1,187.2,33.5
4342,E02000930,59600.0,3.2,132.5,65.4
4343,E02000931,53300.0,2.2,120.3,71.4
4344,E02000932,52500.0,2.2,90.8,70.0
4345,E02000933,52700.0,2.5,83.8,60.1
4346,E02000934,53400.0,3.3,126.0,63.4
4347,E02000935,31000.0,6.1,50.0,23.9
4348,E02000936,52200.0,3.2,101.5,61.8
4349,E02000937,56700.0,2.8,68.2,67.4
4350,E02000938,42900.0,4.4,63.3,40.7
4351,E02000939,54600.0,2.3,114.6,65.8
4352,E02000940,49400.0,4.0,123.5,47.9
4353,E02000941,54200.0,3.1,97.9,57.5
4354,E02000942,54000.0,2.4,94.9,60.4
4355,E02000943,55800.0,3.6,125.2,66.5
4356,E02000944,43300.0,4.2,123.0,38.6
4357,E02000945,34400.0,4.7,37.4,27.0
4358,E02000946,47700.0,4.1,79.9,45.8
4359,E02000947,60400.0,2.6,108.5,62.2
4360,E02000948,54400.0,3.1,74.7,66.3
4361,E02000949,57600.0,2.3,72.0,65.1
