,MSOA code,Net annual income (£),Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Pop_Per_Hectare,percent_at_or_above_qual_level_4
417,E02003831,34800.0,1.9,2.4,33.2
418,E02003824,39400.0,2.7,14.1,38.8
419,E02003832,33500.0,5.4,61.7,18.0
420,E02003833,31600.0,3.6,13.4,19.6
421,E02003834,30000.0,6.0,43.0,19.8
422,E02003835,39100.0,2.1,14.2,36.0
423,E02003836,30500.0,3.3,24.7,30.0
424,E02003838,36500.0,1.9,10.9,28.0
425,E02003837,40200.0,2.0,0.9,38.5
426,E02003839,31600.0,2.9,31.3,32.7
427,E02003840,32300.0,2.0,0.6,35.6
428,E02003841,31700.0,3.4,6.1,35.1
429,E02003874,33000.0,3.2,4.4,37.7
430,E02003875,39700.0,2.4,0.8,39.0
431,E02003842,38700.0,2.1,1.8,43.6
432,E02003843,29000.0,3.7,24.0,16.8
433,E02003844,34200.0,2.8,16.7,31.1
434,E02003845,24500.0,7.8,12.9,12.8
435,E02003846,24800.0,5.9,47.8,12.4
436,E02003847,41200.0,2.3,24.0,29.4
437,E02003848,28900.0,5.2,42.6,13.7
438,E02003849,27100.0,7.2,3.6,10.2
439,E02003876,32400.0,4.1,17.7,22.6
440,E02003850,28900.0,4.0,45.2,18.5
441,E02003851,33400.0,2.4,25.3,25.5
442,E02003877,34600.0,2.2,2.1,39.6
443,E02003852,33900.0,2.4,47.4,24.2
444,E02003878,33100.0,3.1,1.5,26.3
445,E02003879,31300.0,6.3,14.2,20.5
446,E02003880,33000.0,5.0,7.9,21.1
447,E02003881,29600.0,4.9,34.3,23.8
448,E02003882,30000.0,5.0,35.2,16.8
449,E02003794,32700.0,2.5,1.5,31.2
450,E02003883,42000.0,2.5,15.3,44.6
451,E02003884,35100.0,2.5,2.2,42.8
452,E02003795,32400.0,2.8,1.3,33.9
453,E02003885,37100.0,2.1,2.4,33.8
454,E02003796,29100.0,3.5,28.0,28.0
455,E02003797,38700.0,2.5,24.3,43.3
456,E02003798,28000.0,5.8,41.1,12.4
457,E02003800,40000.0,2.3,3.6,41.0
458,E02003799,25900.0,5.1,45.9,12.2
459,E02003801,36300.0,3.0,44.3,35.0
460,E02003802,29200.0,4.5,64.0,39.3
461,E02003803,27400.0,3.0,22.6,29.7
462,E02003886,28500.0,5.3,9.7,15.7
463,E02003804,34300.0,3.7,42.7,40.9
464,E02003887,35400.0,3.8,9.9,23.0
465,E02003888,27900.0,5.6,28.1,12.6
466,E02003805,34800.0,2.1,3.2,44.7
467,E02003889,29000.0,6.8,20.9,14.3
468,E02003806,39900.0,2.1,10.2,38.3
469,E02003890,31100.0,5.5,16.9,17.6
470,E02003807,41500.0,2.8,15.3,49.0
471,E02003808,29400.0,4.6,49.5,24.3
472,E02003891,35100.0,1.6,0.9,39.4
473,E02003809,41200.0,2.1,0.5,38.1
474,E02003810,30700.0,2.4,0.7,34.2
475,E02002574,34200.0,2.5,17.2,27.5
476,E02002575,38300.0,2.7,40.4,33.5
477,E02002576,26100.0,5.3,21.9,14.6
478,E02002577,24000.0,7.0,54.4,10.8
479,E02002578,27200.0,5.6,35.2,16.9
480,E02002579,24700.0,6.3,53.3,11.3
