,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_taxi_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc
2922,E02003003,0.5211445674319697,0.0,0.0,0.5615042385168628,0.5955466301028032,0.13953781591291584,0.5140675714449825,0.6989779116612459,0.682513017354678,0.7191944100732692,0.5760468622912217,0.651075370522012,0.47205426927000527,0.0,0.49620634538235553,0.0,0.34758032527502447,0.0,0.6203157625202235,0.41410340073632584
2923,E02003004,0.6316030842681405,0.0,0.0,0.8585728809854161,0.8149840595246667,0.19803691155656974,0.1530172224934899,0.4494069484500377,0.1628941527945632,0.6705994789223901,0.34909219819459514,0.324474112119289,0.36718136367630655,0.0,0.6448027627061279,0.0,0.5853451310085611,0.0,0.6544513999060606,0.6771036924734336
2924,E02003005,0.5972539420520445,0.0,0.0,0.8927791013302739,0.8869908470921903,0.09259995190606238,0.31917928769686005,0.19332937594480357,0.0,0.47572209344736227,0.36999041814583356,0.3478515061903873,0.6513043862611654,0.0,0.7649111570313636,0.0,0.8127295913629893,0.0,0.6585501980528659,0.6180843416363468
2925,E02003006,0.6910694270818467,0.0,0.0,0.7805330841606638,0.7394615548409289,0.12187785431854603,0.36366529212253335,0.5562116571741931,0.330619160946997,0.6787644695748966,0.3783530639507517,0.343987112743105,0.6175433683545546,0.0,0.6259114692111005,0.0,0.5698657108083567,0.0,0.6280021607186836,0.6595880853160004
2926,E02003007,0.6452726829498783,0.0,0.0,0.7506945047768697,0.6667389324765922,0.0690885263189744,0.2152686454102921,0.2895802260541674,0.29620794873908796,0.7198571146324777,0.33611931345505175,0.3828784320327052,0.5657732123155486,0.0,0.6293190869510799,0.0,0.7056395329506788,0.0,0.6846375583810611,0.855054455159594
2927,E02003008,0.46201381095783023,0.0,0.0,0.6570606717473552,0.604265297085165,0.10090279054870913,0.20586753422433887,0.46028880919089726,0.23598071541589344,0.7481176607029343,0.44176905421852913,0.51259967595835,0.45225542176505995,0.0,0.567552282244586,0.0,0.6075934897682167,0.0,0.6935520930641406,0.7528426291740564
2928,E02003009,0.4268420170169122,0.0,0.0,0.7319541319021705,0.5663693944959929,0.09243339143521474,0.2341114337174618,0.29505243037630907,0.11889667739128036,0.6708521734757569,0.4947329470337642,0.6119442532503152,0.6321947949383205,0.0,0.575146219864906,0.0,0.6048798605629879,0.0,0.671049492525581,0.7589406320374144
2929,E02003010,0.43608302280506595,0.0,0.0,0.7232241684260995,0.476809697864373,0.0,0.1354578865334398,0.4035434066575931,0.2556392283923042,0.6343849105541229,0.5862127280477895,0.6528896524641996,0.4118351454190504,0.0,0.5462850952155174,0.0,0.6007161786719832,0.0,0.0,0.7183125711298539
2930,E02003011,0.453646604398812,0.0,0.0,0.6706819901538423,0.5947023735346118,0.20646741453097628,0.11607920357471083,0.3659702552377964,0.07665106839273822,0.6024505321114226,0.5839209491770664,0.6021506735497344,0.7347487582618429,0.0,0.5160582014009512,0.0,0.6255318841929696,0.0,0.6800506284359951,0.7202797424108751
2931,E02003012,0.5466806290551438,0.0,0.0,0.43479509910703334,0.5356390933738904,0.060671389807558825,0.22631349994771027,0.6507220017970559,0.38258874501504503,0.7391296817977379,0.6985733383286836,0.5368650210238393,0.48251270286521764,0.0,0.5484345946611455,0.0,0.5314649352059657,0.0,0.617663736057627,0.5677432409117973
2932,E02003013,0.5211445674319697,0.0,0.0,0.3755698712015711,0.4247311070799056,0.13337656793968045,0.2153913144790655,0.6742849858786673,0.34555507493228493,0.7405178554654155,0.7155749363742362,0.7004951153116867,0.49871645561354816,0.0,0.4990192776118709,0.0,0.5162351426131186,0.0,0.5091330565928349,0.45255768955259423
2933,E02003014,0.46201381095783023,0.0,0.0,0.28744733604162437,0.32714350948677784,0.09120302412575126,0.15854380908954746,0.6946227830765562,0.2154866220729841,0.7545032570803436,0.7364203104980844,0.5980969158372436,0.6274643741004557,0.0,0.4226887322419213,0.0,0.576094464255382,0.0,0.6534574968482538,0.5262795714228777
2934,E02003015,0.5341901000092364,0.0,0.0,0.48854002076420083,0.5622123210101393,0.2654556455766865,0.25779639733445925,0.6709926018772102,0.33238987596271763,0.5730137536610537,0.8141415732007821,0.6963572940398048,0.33519741199606534,0.0,0.5102689998163692,0.0,0.3884529506278369,0.0,0.4526922801749316,0.379436820075941
2935,E02003016,0.323390790125373,0.0,0.0,0.4418521692559676,0.388217923814939,0.07778760689620037,0.40504548279610725,0.7248755626265947,0.43313489594989474,0.7373480527317516,0.8086705755128264,0.6947186096324109,0.5708138252550229,0.0,0.48374335752323105,0.0,0.4200837274132101,0.0,0.602681671201844,0.3517270870128675
2936,E02003017,0.453646604398812,0.0,0.0,0.5674028618112097,0.756861511255545,0.17916136551623252,0.40888573339271217,0.5730622659599152,0.351503261258998,0.6405364854436044,0.822619749515169,0.5531022821245717,0.5848646697258907,0.0,0.588906779098739,0.0,0.5785565004616586,0.0,0.47034052060813936,0.4148146270241317
2937,E02003018,0.558667942502566,0.0,0.0,0.6069402811064627,0.5963762300722786,0.10456380179909151,0.387861304148815,0.6285942830111184,0.3338493151903613,0.6772081755563951,0.7301063983076125,0.45524065485879617,0.46510577091177674,0.0,0.4892034184354008,0.0,0.5051094819413251,0.0,0.6330447354043103,0.5757368115720105
2938,E02003019,0.6791835335467296,0.9977313972188315,0.0,0.5148774598468822,0.4724845353586098,0.09041848172582373,0.48117375712007615,0.6292049066037252,0.1831540457688106,0.7365596776008222,0.7490128252271584,0.6093850436092387,0.6179192399737105,0.0,0.4514669693303066,0.0,0.5761647769817602,0.0,0.27936816563186345,0.50563529077205
2939,E02003020,0.5074833633567852,0.0,0.0,0.7727159761035283,0.7656319822395201,0.29020757452564405,0.4086096196006861,0.49766074907374663,0.32328859239552615,0.6998140403779438,0.7535858612488037,0.46248851938288804,0.546809694853437,0.0,0.621155501368742,0.0,0.5500240030511168,0.0,0.6152958851548336,0.5278630480189325
2940,E02003021,0.4780128446986837,0.0,0.0,0.5936496633767412,0.5751059228096331,0.14153280058778003,0.3402373274524863,0.7175296840105619,0.2535519273871273,0.590814094984167,0.885967669019035,0.7068418956188638,0.3517949796899535,0.0,0.559740011535081,0.0,0.432024188289442,0.0,0.5194459764293771,0.2627140147369658
2941,E02003022,0.3085164184308939,0.0,0.0,0.8131147156389592,0.7424027767091055,0.22496787219973655,0.38068951965454223,0.4800654796469838,0.186375601038832,0.7032058225188423,0.8554891789411769,0.6096501801269798,0.550410414880429,0.0,0.5596075724248291,0.0,0.563149893566556,0.0,0.6007404732087008,0.4101843303684326
2942,E02003023,0.5277402698835121,0.0,0.0,0.5575705531020086,0.5895567230483383,0.2217405290197767,0.3170328147383369,0.5923908943194669,0.5790611398860585,0.7652921317622784,0.7765307987041374,0.6388342781017586,0.5444299822627076,0.0,0.580066149022815,0.0,0.4582459598982611,0.0,0.5744265092419728,0.4702443212938684
2943,E02003024,0.5277402698835121,0.0,0.0,0.40746518628032835,0.532376883944836,0.03923838717784515,0.22638393047071148,0.660417960111369,0.49067016226122806,0.6933019971532922,0.8022646192714179,0.6392085854486746,0.38775482636862885,0.0,0.5470918766686959,0.0,0.4702351096287525,0.0,0.6280789106779561,0.4445171738343354
2944,E02003025,0.5644870712563121,0.0,0.0,0.3797194777800199,0.5035890022636991,0.0961817217153528,0.1450648378286713,0.6815605279139664,0.5862155582469886,0.7460388625714163,0.806972026196741,0.6565868220130087,0.6052786311652117,0.0,0.43643783940334036,0.0,0.41398588563300986,0.0,0.6301345864839469,0.4118106685473869
2945,E02003026,0.5701966301960882,0.9522470750944435,0.0,0.8557530592091425,0.8326035672337049,0.3488620383002987,0.5103958199720047,0.4760778334316627,0.051644103876547415,0.5304033364368933,0.7611082882450431,0.522118736316636,0.525859996067577,0.0,0.5950136662654657,0.0,0.48537274969628363,0.0,0.5986752128575312,0.43556225339510857
2946,E02003027,0.38613976388925786,0.0,0.0,0.6138292224893472,0.6918485638450866,0.24814491116234513,0.43410422307508534,0.6038871230901477,0.2766505512227734,0.5727731191685079,0.9163207371891213,0.7719071298464186,0.4026311669505745,0.0,0.5971453215904026,0.0,0.4661172210646263,0.0,0.39184353475827277,0.1969816874015346
2947,E02003028,0.5074833633567852,0.0,0.0,0.6530233354158143,0.7638372358217851,0.22038097051928116,0.4651007616449864,0.4832929578149376,0.15554752517365442,0.6212917954460756,0.8893685763443474,0.7856045077523928,0.5202246580078518,0.0,0.6457668566171586,0.0,0.5137810034456436,0.0,0.6380122224110015,0.22151838192841675
2948,E02003029,0.453646604398812,0.0,0.0,0.46933001716093425,0.44936584842109517,0.0,0.06345609030484606,0.65408950507547,0.29566674726136544,0.8115764201710481,0.746830865793542,0.6210260995177173,0.3907234708652269,0.0,0.4018195983966413,0.0,0.5840691018436068,0.0,0.0,0.52244381070941
2949,E02003030,0.40730684378604237,0.0,0.0,0.4632824042947203,0.5443879035312931,0.18193772576994496,0.3044108948909137,0.6900362584117751,0.544879518832952,0.6620132941387857,0.8340099810006097,0.6116078289860658,0.6654469866145073,0.0,0.3688031444176767,0.0,0.39857314194440674,0.0,0.5993414203340147,0.39495906263340863
2950,E02003031,0.40730684378604237,0.9522470750944435,0.0,0.511444371743887,0.691582230678754,0.24731840815956535,0.5399387161509626,0.5281160788766994,0.22508188884524288,0.4789903323110264,0.9194665325330301,0.8596872477681243,0.6143630768865551,0.0,0.5835315431384815,0.0,0.45823762955588876,0.0,0.536615968823917,0.12746784589325064
2951,E02003032,0.4856764551254391,0.0,0.0,0.5227570264616682,0.4743856553896906,0.14776866974219866,0.21898868684139255,0.6290042287369892,0.5884538396759708,0.818077972934186,0.7901305969884991,0.6294878551503513,0.5942123230939077,0.0,0.49581340194441736,0.0,0.5368769654430259,0.0,0.6223727069649942,0.4814534783099292
2952,E02003033,0.25664873331487126,0.0,0.0,0.43473223520298787,0.678449126490084,0.3127897163987196,0.5433120003526498,0.48876698263418933,0.29682368988612473,0.36480391306570004,0.8525808529429513,0.9273186767687882,0.46975658618549887,0.0,0.7071081070144825,0.0,0.62570714881869,0.0,0.5434898462667812,0.10992435255488166
