,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_bicycle_perc,yj_on_foot_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc
4045,E02004146,0.956333609454392,-0.0,-0.0,1.4354516592084587,-0.4240364673812125,-0.10128092034238409,0.3368978698939221,-1.1592662484616363,0.7397561804430333,1.4462780135898194,0.0,0.908956054944665,0.0,-0.8956863742992851,0.0,7.73537838837718,13.237497446251812
4046,E02004147,-0.703056832616938,0.2170140383282393,-0.0,-8.291588033445368,1.1772583869621847,-0.0567771066883727,3.9819781463143964,-1.7056691214903932,1.4437794171829288,2.882583249479131,0.0,1.5091405544350962,0.0,-0.40477430856777,0.0,3.998892536702394,-95.48550243148487
4047,E02004148,1.9764690181712654,-0.0,-0.0,-1.492305571804326,1.922325931859877,-0.03136583349046125,2.8592508937906738,-2.1231871494688495,0.6279250124939187,1.503781308241752,0.0,0.9057850383671192,0.0,1.506751695532438,0.0,-2.271746153140697,-41.6776439310067
4048,E02004149,1.345011909394261,-0.0,-0.0,8.656436851191556,1.0286416341009572,0.013338766509633532,-1.8466336593002666,1.9370770912782977,2.50765253349776,2.7161145610296455,0.0,1.0607919541302437,0.0,-2.18865329856865,0.0,5.337979530168994,-93.18638577400057
4049,E02004150,0.06173576180316808,-0.0,-0.0,-5.966404215671418,-0.9955941432141694,-0.12923560050709434,-3.30008223071974,4.8794554193626345,2.5965877196281655,1.9064081160584934,0.0,-0.1834694407875996,0.0,-3.581244778651448,0.0,-8.528048178357873,-66.28018170177985
4050,E02004151,0.7675932011961731,0.2170140383282393,-0.0,3.0444735563117087,-0.4904493108532654,-0.07880671638400169,-0.6170119485921292,3.3335824807703847,2.4361635651351223,0.7899908985366475,0.0,-0.9181305501401672,0.0,-0.9065469556498836,0.0,-1.6570115655064628,-20.81823183988052
4051,E02004152,-0.6243046795338101,0.2170140383282393,-0.0,-13.15741755446403,-0.023964876580727924,0.035534077655809376,1.5505203725579413,1.135463830525183,2.836731305598301,4.322483359813162,0.0,1.6537460810961104,0.0,-1.7405113280557214,0.0,3.742046420993784,-173.92496800708318
4052,E02004153,0.7186221790910412,-0.0,-0.0,2.090042212047608,-1.0941384808675827,-0.10571817424363876,-1.4868124149958981,3.44236367736562,2.5336462139627924,1.5639033863613419,0.0,-1.1412238114466982,0.0,-0.5397414694605973,0.0,7.854785132725885,-37.74298222156464
4053,E02004154,-0.4006412608832732,-0.0,-0.0,-5.863164523778836,-1.0135071074552846,0.024962316531524503,-0.827180217660712,1.6114057022627004,3.3838273872945246,3.756504802570009,0.0,-0.027651160628363057,0.0,-1.2114665922206334,0.0,5.7337927680104865,-139.79799828788458
4054,E02004155,0.23963489719563857,0.2170140383282393,-0.0,-7.060362531674633,-0.9621780043425557,-0.10224655557591861,-4.946353660748468,3.9179597366426364,2.691758610214299,2.318263071297398,0.0,-0.7449781717949453,0.0,-1.6902697020759427,0.0,7.095253308270848,-68.30360719706374
4055,E02004156,1.8378211151278834,0.22606240134676725,-0.0,-19.544132149960543,0.25503389848938146,0.0016818448513718498,1.2273854978832603,2.9576103139593184,2.798847437867593,4.141951052723785,0.0,0.7049687692448228,0.0,-1.8762855344759541,0.0,5.591223601447531,-171.26043803953914
4056,E02004157,-0.32987305026089697,-0.0,-0.0,-3.9170189130287096,0.9820152199222114,0.012867412143627882,-1.4036977734219063,0.4025322796528131,3.369552772510937,3.7577092209265976,0.0,0.8954258499368177,0.0,0.08342576388520044,0.0,6.852380088640755,-147.60453940652732
4057,E02004158,-0.8677409052065581,0.2170140383282393,-0.0,-5.7343964003044725,-0.861468539640365,-0.10692986411561589,-1.0810732746150344,3.4765063247910395,2.945766544075049,3.1462979829223774,0.0,-0.8657379374700983,0.0,-1.2623522743858466,0.0,6.767577020705314,-112.99561171153273
4058,E02004159,3.1345918185364816,0.22606240134676725,-0.0,10.382861097654816,-0.697984997374971,-0.0597298292514017,0.5516305526594972,2.1657150548460566,2.4827482678503254,1.4363168835533562,0.0,-0.5546716458927909,0.0,-1.6728791860541405,0.0,5.824409304648954,-24.504178118727566
4059,E02004160,0.18149762517164156,-0.0,-0.0,1.510425238717556,-0.15107656422927931,-0.10182491328962576,-4.489468384377764,2.7064654294595956,2.4083021547760235,1.960648027505954,0.0,-1.2780485047931323,0.0,-2.6902875006535583,0.0,6.463332258171167,-48.11748403309899
4060,E02004161,-0.1933878183465756,-0.0,-0.0,-9.533384324883206,-1.8337564900977557,-0.10305208953768547,-4.654172660561388,4.498861696142796,2.8921887643647284,3.0504478656181475,0.0,-1.457140068370286,0.0,-2.6510101277134135,0.0,7.006866955589315,-108.4020239537743
