origin_msoacode,avg_time_from_origin_bus_UNWEIGHTED,"Bus, minibus or coach",cumulative_time_bus,avg_time_bus
E02000192,305.6846116,502,11120.98472,22.15335602
E02000193,304.4999155,501,10030.21196,20.02038315
E02000194,334.6611544,658,24053.65775,36.55571087
E02000195,333.5936523,741,27576.6441,37.21544413
E02000196,334.3062995,503,17478.58028,34.74866854
E02000197,333.1902061,614,20590.60048,33.53517993
E02000198,337.2284672,789,28828.75866,36.53835065
E02000199,335.4425578,793,29483.31729,37.17946694
E02000200,339.0663311,768,28729.32531,37.40797566
E02000201,339.1690719,598,20711.00321,34.63378463
E02000202,341.0495674,786,26430.51901,33.62661452
E02000203,340.5459489,702,23375.866,33.29895442
E02000204,339.6185391,925,32477.12401,35.11040434
E02000206,341.2650892,742,25316.38708,34.11912005
E02000207,344.3669976,488,16339.78416,33.48316427
E02000208,340.9612113,832,27910.67122,33.54647984
E02000209,338.0862765,669,21572.77595,32.24630187
E02000210,346.6260765,454,14483.92842,31.90292604
E02000211,347.6713156,361,11479.52176,31.79922925
E02000212,337.9013356,761,25430.40081,33.41708385
E02000213,341.7102285,682,22695.85144,33.27837454
E02000214,345.1078703,298,10030.16595,33.65827501
E02000215,343.4730853,519,14895.48771,28.70036167
E02000216,343.0154466,193,5650.46561,29.27702388
E02000217,340.6804499,556,17991.73563,32.35923674
E02000218,348.840391,541,19224.6619,35.5354194
E02000219,349.2910203,405,11499.64076,28.39417472
E02000220,342.0294626,571,16685.40066,29.22136719
E02000221,341.4969323,634,20830.58507,32.85581241
E02000222,343.5356159,443,11833.61384,26.7124466
E02000223,354.6710661,479,20610.15575,43.02746503
E02000224,348.0348248,491,13984.79963,28.48228031
E02000225,355.0228855,315,11271.93818,35.78393074
E02000226,351.6101547,379,13079.51592,34.51059609
E02000227,354.1700133,763,27654.47988,36.24440351
E02000228,351.6067545,211,7517.957884,35.63013215
E02000229,354.366046,236,7967.560855,33.76085108
E02000230,347.1124196,456,13073.7971,28.67060768
E02000231,347.3612203,231,6771.434851,29.31357078
E02000232,351.1796942,282,8108.649202,28.75407519
E02000233,349.2604624,212,6455.722419,30.45152084
E02000234,348.3883303,324,10989.43848,33.91802001
E02000235,352.0575334,176,5324.612976,30.25348282
E02000236,346.407635,224,6106.784956,27.26243284
E02000237,350.2361412,244,8105.250636,33.21824031
E02000238,307.6526022,525,16665.39215,31.7436041
E02000239,309.6383221,482,13146.92273,27.27577331
E02000240,307.1153831,587,20855.62086,35.52916672
E02000241,304.1508022,344,11472.12292,33.34919455
E02000242,313.6535933,337,10777.14524,31.97965946
E02000243,307.6187542,416,13277.90598,31.91804323
E02000244,309.821055,252,6999.099317,27.77420364
E02000245,302.5459572,640,21027.56577,32.85557152
E02000246,299.9463519,652,20027.66966,30.71728476
E02000247,303.516531,753,24381.51866,32.37917484
E02000248,306.6568949,244,7343.949592,30.09815407
