"AtcoCode","CommonName","CommonNameLang","ShortName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"1000DSPR7600","Kissingate Leisure Centre","en","","","Kissingate Leisure Centre","en","Park Road","en","","","adj","en","2007-03-09T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPR7601","Carter Lane","en","","","Carter Lane","en","Park Road","en","","","opp","en","2007-01-15T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPR7601","Kissingate Leisure Centre","en","","","Kissingate Leisure Centre","en","Park Road","en","","","opp","en","2007-03-09T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPR7620","Arcadia Avenue","en","","","Arcadia Avenue","en","Park Road","en","","","adj","en","2007-01-15T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPR7623","Arcadia Avenue","en","","","Arcadia Avenue","en","Park Road","en","","","opp","en","2007-01-15T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPW6884","Windmill Rise","en","","","Windmill Rise","en","Park Side","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSRA1627","Douglas Road","en","","","Douglas Road","en","Riber Avenue","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSRD6810","Blackstone Close","en","","","Blackstone Close","en","Ralph Drive","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSRD7578","The Grange Nursing Home","en","","","The Grange Nursing Home","en","Recreation Drive","en","","","opp","en","2010-02-03T00:00:00","2010-02-03T00:00:00","","new"
"1000DSRD7578","The Victoria Inn","en","","","The Victoria Inn","en","Recreation Drive","en","","","opp","en","2009-06-30T00:00:00","2010-02-03T00:00:00","","new"
"1000DSRD7579","The Grange Nursing Home","en","","","The Grange Nursing Home","en","Recreation Drive","en","","","adj","en","2010-02-03T00:00:00","2010-02-03T00:00:00","","new"
