"AtcoCode","OperatorRef","NationalCoachCode","Name","NameLang","LongName","LongNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"490014051U10","","900057366A","Victoria Coach Station","","Victoria Coach Station","","U","528584","178704","2011-08-16T13:07:05","2011-08-16T13:07:05",2,"rev"
"490014051U10","","900057366E","Victoria Coach Station","","Victoria Coach Station","","U","528584","178704","2011-08-16T13:07:05","2011-08-16T13:07:05",2,"rev"
"490014189Y","","900057567C","Wandsworth Police Station","","Wandsworth Police Station","","U","525390","174678","2011-06-29T10:08:02","2011-06-29T10:08:02",2,"rev"
"490015018E1","","900057586C","Eltham Road  Westhorne Avenue","","Eltham Road  Westhorne Avenue","","U","541470","174638","2011-08-05T16:19:07","2011-08-05T16:19:07",2,"rev"
"490015018W2","","900057586A","Eltham Road  Westhorne Avenue","","Eltham Road  Westhorne Avenue","","U","541479","174603","2011-08-05T16:19:07","2011-08-05T16:19:07",2,"rev"
"490015114E","","900057456A","Stratford Centre Burtons Court","","Stratford Centre Burtons Court","","U","538973","184387","2011-10-25T09:37:04","2014-07-17T08:54:08",3,"rev"
"490015496GV","","900057846D","Golders Green","","Golders Green","","U","525138","187566","2012-02-11T15:59:08","2014-01-29T14:12:02",6,"rev"
"490016736W","","900057366L","Victoria Coach Station (Arr)","","Victoria Coach Station (Arr)","","U","528596","178789","2012-07-24T11:15:06","2012-07-24T11:15:06",2,"rev"
"5110AWD72220","","900011361","Sea Life Aquarium","","Sea Life Aquarium","","U","300773","381700","2000-01-01T00:00:00","2008-06-03T00:00:00",0,"new"
"5110AWD72231","","900011323A","Lyons Holiday Camp","","Lyons Holiday Camp","","U","303028","382328","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5110AWF80138","","900011392","Pontins Holiday Camp","","Pontins Holiday Camp","","U","306894","383733","2000-01-01T00:00:00","2016-05-19T21:12:26",1,"rev"
"5110AWF80138","","900011392C","Pontins Holiday Camp","","Pontins Holiday Camp","","U","306894","383733","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5110AWF80146","","900011341A","Ffrith Beach","","Ffrith Beach","","U","304918","382958","2000-01-01T00:00:00","2006-09-05T00:00:00",0,"new"
"5110AWQ26532","","900011341C","Ffrith PO","","Ffrith PO","","U","304850","382903","2000-01-01T00:00:00","2007-10-09T00:00:00",0,"new"
"5110DGX17041","","900011362","Presthaven Sands","","Presthaven Sands","","U","308984","384147","2000-01-01T00:00:00","2006-04-25T00:00:00",0,"new"
"5110WDB21735","","900011331","Bus Station","","Bus Station","","U","306451","382944","2000-01-01T00:00:00","2015-11-17T21:25:09",2,"rev"
"5110WDB24206","","900011392A","Pontins Holiday Camp","","Pontins Holiday Camp","","U","306911","383742","2000-01-01T00:00:00","2016-05-19T21:43:53",1,"rev"
"5110WDB48304","","900012091","Parade Street 2","","Parade Street 2","","U","321467","342092","2000-01-01T00:00:00","2015-11-17T21:33:15",1,"rev"
"5110WDB48306","","900011323C","Lyons Holiday Camp","","Lyons Holiday Camp","","U","302987","382305","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5120AWF80818","","900011742A","Packet House","","Packet House","","U","319563","377707","2000-01-01T00:00:00","2016-05-26T20:24:51",1,"rev"
"5120AWF80842","","900011381A","Station Road Turn","","Station Road Turn","","U","311325","383391","2000-01-01T00:00:00","2016-05-26T20:26:02",1,"rev"
"5120AWF80847","","900011352","Crossroads","","Crossroads","","U","309083","383459","2000-01-01T00:00:00","2016-05-26T20:24:37",2,"rev"
"5120AWF80847","","900011352A","Crossroads","","Crossroads","","U","309083","383459","2000-01-01T00:00:00","2016-05-26T20:24:37",2,"rev"
"5120AWF80847","","900011352C","Crossroads","","Crossroads","","U","309083","383459","2000-01-01T00:00:00","2016-05-26T20:24:37",2,"rev"
"5120AWF80996","","900011721A","Ship","","Ship","","U","324405","373191","2000-01-01T00:00:00","2005-06-13T00:00:00",0,"new"
"5120AWF80997","","900011721C","McDonalds","","McDonalds","","U","324344","373225","2000-01-01T00:00:00","2005-06-13T00:00:00",0,"new"
"5120FLX17097","","900011742C","Packet House","","Packet House","","U","319519","377720","2000-01-01T00:00:00","2016-05-26T21:20:14",1,"rev"
"5120WDB25442","","900011381C","Station Road Turn","","Station Road Turn","","U","311307","383424","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
