origin_msoacode,avg_time_from_origin_car_UNWEIGHTED,car,cumulative_time_car,avg_time_car
E02000045,105.7425589813079,1397.0,12436.109700299996,8.902011238582674
E02000046,104.84733966302595,816.0,7438.941593899999,9.116349992524508
E02000047,103.46726345544235,1400.0,11931.426253320007,8.522447323800005
E02000048,104.02239233285671,1808.0,15286.560120300008,8.454955818750005
E02000049,104.00928701117844,936.0,8174.684581000001,8.73363737286325
E02000050,105.07830297274829,1365.0,11126.403133879989,8.151211087091566
E02000051,104.51048144568254,1234.0,9281.573415720006,7.521534372544576
E02000052,105.42544413569715,1097.0,11247.640912000006,10.253091077484052
E02000053,103.69281479641305,1056.0,9370.389493529996,8.873474899176133
E02000054,103.87422366795485,1107.0,9239.426716299995,8.346365597380302
E02000055,104.25987840095404,1361.0,10378.985284139988,7.625999474019094
E02000056,105.03714854084176,1455.0,12360.76257639999,8.495369468316143
E02000057,104.30670359710783,1005.0,5715.300485989999,5.68686615521393
E02000058,104.54018934668929,1283.0,11000.322345399998,8.573906738425563
E02000059,103.77580280387399,1424.0,11244.21181872,7.89621616483146
E02000060,104.38913632757365,1161.0,7263.623218480005,6.256350748044793
E02000061,104.80252595646611,798.0,6567.4977166599965,8.229947013358391
E02000062,104.06483105093889,638.0,4545.300629329997,7.124295657257048
E02000063,104.65575711124835,754.0,5965.007678449998,7.911150767175063
E02000064,104.76915687262354,561.0,4984.405485280003,8.8848582625312
E02000065,116.00121537223164,958.0,11341.323589399999,11.838542368893528
E02000066,116.16220592089736,1238.0,12663.344178700005,10.228872519143785
E02000067,117.29859471430365,1571.0,14740.001512199999,9.382559842266073
E02000068,117.61201603988901,1194.0,11288.561204020001,9.454406368525964
E02000069,116.78244793456902,1262.0,11089.688534550005,8.787391865729006
E02000070,115.54891178007244,1742.0,14859.528793599993,8.530154301722154
E02000071,117.55696520843634,1634.0,13553.244519000003,8.294519289473687
E02000072,117.77202169013631,1838.0,17361.215834599992,9.44571046496191
E02000073,115.31951369892164,2308.0,20229.347812435004,8.764882067779464
E02000074,117.92428116988887,1566.0,14392.278758590002,9.190471748780334
E02000075,117.03769328010544,1695.0,14507.485123199998,8.558988273274336
E02000077,115.09484584631156,1609.0,14547.503236290002,9.04133203001243
E02000078,117.29034505759267,1817.0,16904.98629322001,9.303789924722073
E02000079,116.13155615095066,1374.0,11550.877091599998,8.40675188617176
E02000080,114.75882711047086,1854.0,17386.418770790006,9.377787902259982
E02000081,116.51437071094287,1479.0,11970.417210799993,8.093588377822849
E02000082,114.55803130839062,1995.0,18192.006148420016,9.118800074395997
E02000083,117.44658442953734,2083.0,20355.365338100008,9.772138904512726
E02000084,115.75592818110255,2347.0,19547.71227736001,8.328807957971883
E02000085,115.7189360485004,1795.0,16403.16165568001,9.138251618763237
E02000086,115.01195668709025,1767.0,14920.502092500003,8.44397401952462
E02000087,117.11663148368243,1524.0,13531.939714800004,8.879225534645672
E02000088,116.36809635235964,1667.0,13060.277674399998,7.834599684703059
E02000089,115.38203339652858,1582.0,14671.445564199996,9.27398581807838
E02000090,115.65060545457585,1430.0,12997.03966819999,9.088838928811182
E02000091,115.95978644094664,1627.0,14925.940423020018,9.173903148752316
E02000092,116.82778537521607,1271.0,11293.770141219999,8.88573575233674
E02000093,103.61624382508344,1729.0,14135.580199059992,8.175581375974547
E02000094,103.5747433712719,1308.0,10556.901951410011,8.071025956735483
