,MSOA,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_bicycle_perc,yj_on_foot_perc,yj_avg_time_car,yj_avg_time_bus,yj_avg_time_rail,yj_car_perc,label
5094,E02005209,0.6818191483395312,0.13469042024158906,-0.6914334680722816,-1.5581092849120157,-0.10994192740247848,0.9255712750859014,0.5048165543441712,0.23953190383070144,0.5770983587400978,1.7923414477324662,0.5723570714810029,1
5095,E02005210,0.2873696910167474,0.838863419283144,-0.4783986917194585,-0.4428551853282819,-0.4961232867467743,0.5443570008603885,-0.5505249743684824,0.15924179072782876,0.4173847252166051,1.1267255210265643,0.8052759129429826,1
5096,E02005211,0.2381484644879821,0.6425092590622336,-0.4244505426463221,-0.5410157354160561,-0.5257531601853505,0.4812610980774213,0.6961516907210766,0.6511221785473251,-0.0068948199965246275,0.9865105192777288,0.3838209998101012,1
5097,E02005212,-0.1544540031985166,-0.22061369629722252,-0.9364905337198052,-1.237614553901625,0.28123229909034925,-0.3814943160663901,0.3821143318397952,-0.4959445440950517,-0.3833296903396984,-1.984118923731628,0.7564162420375226,0
5098,E02005213,0.2200263671544727,-0.30450246998066643,-0.8032411172347403,-1.2364805611934793,-0.035789679578488415,-0.7745677297957575,-0.11962372643189788,-0.688477177238269,-0.876965272001254,0.5910864350555017,1.2487108183592228,0
5099,E02005214,-0.16120732233637927,-0.3460374612376602,-0.8844626279614491,-0.3487692936367675,0.1604196866314803,-0.46761717330316,-0.028739305051017818,-1.0780687970108846,-1.672529944268606,-1.984118923731628,1.0081983689684069,0
5100,E02005215,-0.7974941384699603,-1.0176477592830675,-0.9386383754932336,-0.8438501898270901,0.20995472152052325,-0.9618936728631045,1.1635798909125716,-1.580300288018564,0.04421493551332191,-1.984118923731628,0.367737325392824,0
5101,E02005216,-0.8929663757023163,-0.6097813186291258,-0.8365438506359248,-0.7461304782345182,0.3822314498962913,-0.6765723958808263,0.5724875424300894,-1.5211702334273756,-0.3960278024688893,-0.8914216820027688,0.5310885576403427,0
5102,E02005217,-1.2371388756082982,-0.2562868013612976,-1.0259000767823399,-0.5975496132261068,0.3477421216096057,-1.2448367525943056,1.2067324779896191,-1.481126554345702,-0.06618842369805605,-1.984118923731628,-0.11796045146417054,0
5103,E02005218,-0.4835729825046565,-0.4219150036037866,-1.0259000767823399,-1.0463619542774159,0.5417537582894494,-1.0007003722246195,0.2243980599443325,-0.8477027510060452,-1.1517593005325375,-1.984118923731628,0.7780082976721209,0
5104,E02005219,-0.27763739665181203,-0.04902144843513632,-0.8133981151417379,-1.0060289917769092,0.0008356690269831161,-1.2338670311833346,0.3320370325149283,-0.5648087425128522,-0.7282963106704334,0.23823763849933915,0.9498007877897932,0
5105,E02005220,0.528980743907667,0.04546066968454083,-1.0259000767823399,-1.3257555547692417,-0.04195500664044582,-0.6741348411798221,-0.7451259976054304,-0.7058856542494093,-1.2546644671069744,-1.984118923731628,1.3055037287657831,0
5106,E02005221,0.7704694134805532,0.7647767700026062,-0.9318992671465168,0.1040455556020818,-0.7018725493958611,0.01699762052430701,0.35013042835843905,0.8167977265122647,0.1913859690844822,-1.984118923731628,0.5103549299865654,0
5107,E02005222,1.5990553015792703,2.1360003138976933,-0.3879859950952144,-0.6320277221911004,-1.354693102485493,-0.7609920712876824,-1.5071502795641059,1.8353460458663184,0.9670639260239176,1.830975119199408,0.08086439673023631,1
5108,E02005223,1.1022019597904278,0.7380877801517081,-0.7678944008838371,-0.6408935135507193,-0.6378089738248724,0.6235022065600198,-1.2538178944144651,0.3534688405279685,-1.256735815699901,1.7614618672935196,1.1073872588052058,1
5109,E02005224,-0.13852457637324112,0.462335132092192,-1.0259000767823399,0.8074878811803772,-0.4563865480479724,0.8016120749782322,-0.05462619748781256,-0.09933258867841732,0.4965618660876154,-1.984118923731628,0.3460380069947729,0
5110,E02005225,0.9501847889957471,0.9759158341443838,-1.0259000767823399,-0.8001334001702884,-0.4680436488713289,0.5432314203650226,-1.065567683329287,0.592827923043329,0.9213802985383904,-1.984118923731628,0.9594313765609614,0
5111,E02005226,-1.3300667661402394,0.07299973659512637,-0.5438110080097094,-0.4580126473354482,0.5355522020405616,1.1127660596040354,1.429047095489901,0.17376129941930668,-0.7181560771127204,-1.336783159974914,-0.660274605157165,0
5112,E02005228,-0.07107308940588906,-0.970865371670004,-0.5804437173220259,-0.5747762165024293,0.01938278271521652,1.0769160848391781,0.7198510097843855,-0.4328405778525861,-0.3527605199238696,0.3440133132091304,0.3898524727972082,0
5113,E02005229,-1.368344267407155,0.2442726914098536,-0.8417186408094692,-0.5543366177512148,0.7826416599420251,1.0035355009040947,0.8346178720536838,0.251852391571055,-0.16614602409915527,-1.0524105703312758,-0.3198701952640083,0
5114,E02005230,-0.4207682374791861,-0.6475742673362588,-1.0259000767823399,-1.170880998135458,0.11187888089067036,1.302971436274667,0.6679356669461215,-0.21750046957401906,-1.6213932564833573,-1.984118923731628,0.2829624786791501,0
