,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_taxi_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc,label
5912,E02006049,-1.0432136888554744,-0.0,-0.0,12.292313087435256,0.26208329560066457,-0.08181871821357825,-5.548667877570961,-4.486844618724444,-2.930067627927329,-0.7468950943926969,-0.3635627566114683,0.18664062582255184,-0.3527265112313053,0.0,0.4913490201767022,0.0,0.30855630267468936,0.0,2.613029763193895,103.36438485771791,1
5913,E02006050,-1.8980850596773,-0.0,-0.0,-2.5982897707753736,1.5214026500237408,-0.0616393436316916,-0.9971444919321002,-3.2805134185561173,2.388869092026931,0.07259430620459631,0.1279768331898062,2.274733002601365,0.2876124167409568,0.0,0.6917303534986798,0.0,0.11398377987085295,0.0,4.540253183489228,-30.25145396129015,2
5914,E02006051,1.1778563597335578,-0.0,-0.0,12.33319556331594,3.3659855094456828,0.0763165910004959,-5.5191145400113895,-5.450374825228401,-8.122956849951986,0.12559596987138466,-0.6788181407327469,-1.0045327793516772,0.2045269963421196,0.0,1.3818448193726136,0.0,-0.7658043291245736,0.0,5.032174570999763,1.9872713255169239,2
5915,E02006052,1.2204342238328114,-0.0,-0.0,11.810532278978734,3.0533112344459163,0.014027305400695328,-5.295728902723894,-5.411737202160583,-3.5700126667926804,1.1199913356573132,-0.5044808155515831,-0.2828285202487316,-0.5325094232988743,0.0,1.4015248160484386,0.0,1.576882639839574,0.0,6.351306832849477,8.511617800411058,2
5916,E02006053,-1.330708366879778,0.2170140383282393,-0.0,3.9151591263593106,0.4179402330972443,-0.06814661980027231,-2.0033807168812556,-4.692320153715838,3.020517920384918,0.604313092322692,0.6016080266008166,1.8042776641825309,-2.8567408798336853,0.0,0.7190758602603872,0.0,0.27584205026176234,0.0,3.5568500840826704,23.591446259750427,1
5917,E02006054,-0.26081965153153075,-0.0,-0.0,-2.498130991450147,1.650081908854281,-0.05277239156214318,-6.866345086359067,-3.752011698138331,-3.726807244457104,-0.7132304718504519,0.35097989090062504,2.710398494597253,-0.0791240775637334,0.0,0.6528351253162376,0.0,1.2761711532950668,0.0,2.2710626047775917,-41.23540426657043,2
5918,E02006055,-0.6243046795338101,-0.0,-0.0,5.054825456861298,-0.2910164928519659,-0.08940862461131963,-8.876257935511756,-7.141128837567381,-3.2439613775769485,0.7379883869739138,0.2635946197826821,2.0353226385143843,-0.9575313366788416,0.0,0.3966778894422827,0.0,0.4399870446507355,0.0,5.2412505205366715,48.889516053664096,1
5919,E02006056,0.6688853662412763,-0.0,-0.0,13.939053315398901,3.294035916360408,0.09753790787042313,-4.321739829330685,-7.060785363649173,-7.1969864817677225,-0.3407386330866468,-1.4234193539809954,-0.8916616529456052,0.7092308096294229,0.0,1.5004859755476032,0.0,1.718486171361357,0.0,5.078921183495575,10.703280641028758,2
5920,E02006057,0.4076618881732477,-0.0,-0.0,-0.2365069538811176,2.622120267386159,-0.053600712831973485,-6.524460048689015,-2.8926966849668414,-1.8317804600282397,-1.6762184143164474,1.1505127950034926,1.7509438212158055,0.903371751086018,0.0,0.9471964730805812,0.0,0.11102360485304158,0.0,5.141661784875482,-38.843098896717784,2
5921,E02006058,-0.1933878183465756,-0.0,-0.0,13.210644676063527,2.136040563025809,-0.06049383691775843,-5.845094170906116,-7.3785543935777,-6.46030005162038,0.4053867197872823,1.981188147560724,1.2499047613884795,0.33172531172019265,0.0,1.3115770202573749,0.0,1.7352442187153831,0.0,2.9258602443883936,2.0009030981859137,2
