,MSOA,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,taxi_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,label
4073,E02004174,-0.1819321008987486,0.0,0.0,0.06753360820415602,0.866711982135954,-4.475598958719714,-1.1919442978219796,0.07230230358653868,-4.450132881177161,0.22213167270300652,-0.3974506333772687,3.2082125669386703,-0.9849558286644896,26.39042500436402,0.3182962782221743,9.222131507208518,0.28868001229463564,10.916740630421398,4.242598606983227,-0.1791619410134337,0
4074,E02004175,-0.4452911411449216,0.0,0.0,-0.8060306572519448,3.3509515414864377,8.865014729197242,-2.107693741641995,-0.5879031537799255,3.5348795309758465,0.469225740222324,-0.8154511919352627,3.6576454264794167,-0.2530978761580549,35.095350437751485,2.0528501574538858,14.211676663253687,1.4220457061561382,17.89928450586414,-12.474503326908696,-0.4524822327561842,0
4075,E02004176,0.1575967541845323,0.0,0.0,0.497239353782581,7.809994768540197,1.0839494338133808,-2.1834494000222935,-2.69929799215414,-8.182896132095639,-0.02241837130592304,-0.9579103997369492,1.4653803925018485,0.25236781522894025,30.61703769425858,4.580936132195952,15.178757667329373,4.120396303998819,19.743058628384446,5.561057054609828,-0.4620705308920496,0
4076,E02004177,0.1575967541845323,0.0,0.0,-0.26424527534649045,3.7574064874824926,8.865014729197242,-3.3076835257515844,-1.1238380079256451,2.1194684184878816,-0.2702527845047191,-0.8293410695475358,3.6849616157078184,0.01866038061275912,34.87936437008485,1.2162306554305071,14.27019840278642,0.9884681386312784,18.32583555532943,-12.474503326908696,-0.4171810831430008,0
4077,E02004178,0.42095579443070535,0.0,0.0,0.7609859062618358,6.757082143322622,1.0958459895274362,-1.9620264856205407,-2.1814385292989624,-4.149979276183255,0.4446621913799866,0.5553352145232701,0.7783932017824446,0.25539689725496856,35.85696954153613,4.805426020307092,14.17594367885407,2.4433238671225816,18.47395918199339,4.845375681746406,-0.2992206653360732,0
4078,E02004179,0.12771610752183452,0.0,0.0,0.3356365347754186,2.5024417525948817,-5.406885730400953,-1.7380636217446106,-0.7669310858502957,-4.2834544517371835,0.2527770725238335,1.9400777139457024,2.760041990490911,1.141486264317042,34.131644182835025,1.7253863203868904,12.844289203467117,-0.04137403189689187,17.769692315969593,4.572334562987347,-0.3988205093432787,0
4079,E02004180,-0.7848199962282025,0.0,0.0,0.8969002530332781,7.139703934581487,-5.364800919684746,-2.1224857109520143,-3.5964955355175627,-1.5360682190058232,0.40965325258733015,0.20998428140994224,-1.6402187745976118,0.680157834339047,33.44501482739104,1.687978842242886,12.526277907823316,-2.0314993708663778,17.13748546274129,5.145641755172399,-0.1023644700583153,0
4080,E02004181,-0.14323281419453526,0.0,0.0,-0.2090531308598819,-0.060889305428778184,-8.796772580979923,-2.076312953008941,-1.6890142543846962,-0.08843160636042456,0.2276632038998995,1.5301468521435828,4.558169316171034,-1.54398528825988,32.59387895674734,-0.09098742479369848,12.37695663762926,3.2748653145989963,16.20370423471082,-12.474503326908696,-0.5848792968560259,0
4081,E02004182,-0.03421174327054883,0.0,0.0,-1.20676482873601,0.5456860207718274,-8.84705990471659,-1.902910445481304,-0.2630297582328281,1.3617895160627462,0.3183373502394094,1.2562856557758115,4.409167860827838,0.2075100317986215,32.288611654973266,-0.7046954666745301,11.929245888185966,-1.9957149227243032,16.39038222586101,-12.474503326908696,-0.6519169605006647,0
4082,E02004183,0.09705925399055088,0.0,0.0,-0.2142889571475318,0.94787192472672,-8.48256124994442,-2.3495015402304475,-0.5373761321767979,-2.4081056912466816,0.24652109937615374,1.5878601728261643,3.332372513665704,0.002462758828968228,32.41461507420313,-1.242782080456185,11.998355177956553,-2.607780914766731,15.989400746576393,-13.733010243717894,-0.3327183504349903,0
4083,E02004184,0.2700839729776609,0.0,0.0,-0.09408947015888608,-0.8178735680082396,-5.1104117087784005,-2.454633180840703,-0.15686572179502453,0.8142979531929245,0.18887375581200366,1.5155333492145762,3.3341553612722565,0.07648768996465444,32.17499416530076,-0.6675189494300846,12.111624799129832,-3.268662025429791,16.212932344777286,3.782276902256111,-0.2607349373833251,0
4084,E02004185,-0.03421174327054883,0.0,0.0,0.5370126143158602,2.6320135740301125,-2.3479254167432537,-2.137254490500817,0.421835929681692,-4.01721413024715,0.6179799437748437,0.3139315530613651,-1.3284422416649713,0.3958652213381599,33.89949409646465,1.5572306918000538,13.11764235427636,0.06714048668918503,16.845091975731304,3.7786475093576617,0.1648019824522666,0
4085,E02004186,0.5961244240911739,0.0,0.0,0.6238072153466829,2.723527138636306,-6.876421039953175,-2.2834554900250943,-0.34481409366137483,-2.1032024985922217,0.5784630191417163,0.7942108197645996,-0.18108601112895653,0.16805008348279596,32.60546016490819,-0.16347945240956044,12.278779984978804,-0.4147751897580532,15.816631849800002,-8.293831691276864,0.11972123014152038,0
4086,E02004187,-0.4452911411449216,0.0,0.0,0.3855607298758568,6.044682470315887,-3.9671920899423543,-2.021395136414321,-3.2186075468835864,-3.663381919326097,0.12550563130564307,-0.7423598494723317,2.250895407858132,0.3337778569465606,30.41131481082746,3.88616230514456,10.661590219624152,3.0707059740430047,15.395231812973408,4.990814616904782,-0.2938318811006729,0
4087,E02004188,-1.4785390440179709,0.3010299956639812,0.0,0.6815921396631024,8.701306398805835,-5.462857119859376,-2.363623092448026,-3.103997952268025,-6.1939008919645895,-0.06323949861025713,-1.344810213888426,-0.8006780210304841,-0.04704598551464554,30.746475076872137,6.8413077896945005,11.614394878996787,4.996038317848722,14.419296674405064,2.783619799958133,-0.3622219872975201,0
4088,E02004189,0.4443273007474216,0.0,0.0,0.8423322808704965,2.379304064698128,-6.015541336648973,-1.7850147296587062,0.08965834163376264,-2.5555080932569023,0.8100170098321579,0.03725210991821152,0.03275275132428119,1.3775949269017778,38.122350141754545,2.4665960549595343,11.979405310525351,0.14285005114011007,17.53724526151946,5.282963502310508,0.09889677437624557,0
4089,E02004190,-0.10576228606164012,0.0,0.0,0.6936131216967778,6.5206002238958325,-1.8752462027362056,-1.1391204898259422,-3.1246313464036146,-2.4542937917826366,0.28562999335247924,-0.9441457791471914,-1.4978400243929733,0.6189467932337722,33.785460908856614,3.4905567168571654,9.999750985571472,1.4270652077983743,15.418717195627805,4.9963441050502455,0.0032013407093831594,0
4090,E02004191,0.6162996589861237,0.0,0.0,-0.2481377775855195,4.74292039581024,-0.7658466131322456,0.6732583562797558,-2.1199252801910915,-0.6911825597766972,0.18013887983654822,0.4377840279805975,3.2744794041004197,0.6076784616738437,32.77871618619973,1.0548217464998155,10.915074791790182,-1.2647652654171735,13.736285708386276,1.2166318806024612,-0.6260941990261318,0
