,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_taxi_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_avg_time_car,yj_avg_time_bus,yj_avg_time_rail,yj_car_perc,label
2058,E02002117,-0.4586450578286733,-0.5795372077311381,-0.2832984747187976,-0.4217121714245014,-0.6600885011104142,-0.5859172020063332,-0.22667302950124435,0.4962030518407588,-0.4595020375188173,-1.1151725040800922,-0.4235979185738579,-0.1635392764340761,-2.3430313671949428,-1.236469562713456,-1.6081568337661436,-0.4895739078386899,0.9677835868593072,0
2059,E02002118,-0.4586450578286733,1.8010489333443844,-0.2832984747187976,-1.0612724773577564,-1.470739124576128,-0.7134824422944419,-0.5409391151275457,1.3455067032010335,0.011753238957418241,-0.3612783486334232,-0.0975542859063319,-0.12100475522372316,-0.4085079374115108,-1.6350407974549626,-0.8390115368296929,0.4741933978180918,0.2666655292547351,0
2060,E02002119,0.26718116669692915,-0.5795372077311381,-0.2832984747187976,0.17869143079041927,-0.5447456975401377,-0.3373065362395653,-0.9198381092816976,0.5815493796229299,-0.8021680983590118,-0.9240306645898392,-0.4691457896651857,-1.3060290929316367,-0.4178784653078597,-0.6667939367991927,-0.4957284022432014,0.4186038110453344,1.3186781091957986,0
2061,E02002120,-0.3322052915703175,-0.5795372077311381,-0.2832984747187976,0.560886566327925,-1.06211123171883,0.2212505931335872,-0.7495954091765292,0.293149473946658,0.1663516726740123,-0.3072154133411275,-0.9114159336197224,-1.4416101949163225,-1.2394409913795572,-1.2861104767735572,-0.015547486316050782,-0.11415585842999293,1.6646196096704986,0
2062,E02002121,-0.09741745945377643,-0.5795372077311381,-0.2832984747187976,-1.04620383389135,-1.8650906941036205,-0.6509099905146243,-0.2993305478842522,1.0753350204517456,-0.016174721016554552,-0.2226469500654879,0.3005711386307709,0.8374776841787629,-0.4582939415197159,-2.2594358141845623,-0.8408307160461088,-0.8550119816288504,0.02464432862648034,0
2063,E02002122,-0.3945963335364767,-0.5795372077311381,-0.2832984747187976,-0.9698193773916782,-0.6136595318042604,-1.0259000767823399,-0.6761682168388861,1.1388851364105523,-0.18667163910845455,0.6375496856818017,0.3182521776442217,0.5627724238395914,-1.17189297164932,-1.4462641653193542,-0.6464293721146633,-1.984118923731628,-0.02191227543064031,0
2064,E02002123,-0.9638922138917321,-0.5795372077311381,-0.2832984747187976,-0.3811125683453304,-1.528958808334787,0.1544579722673994,-0.936226493325602,0.6809945781791592,0.7861921199851709,0.07097365496373571,0.14907391303392628,-0.3365327941089752,-1.667560749911428,-2.217786042370732,-0.6998414915792249,0.1759487666834033,0.9996241471672666,0
2065,E02002124,1.3051894971115987,-0.5795372077311381,-0.2832984747187976,-0.3305325355212416,-0.02376682288404259,-0.7317553746561216,-0.9069258127259224,0.5280695103086342,-0.6779053718294101,-0.3716633379676085,-0.9377610175505406,0.039148863363981413,-2.024714106723287,-0.5067735381703417,-0.10702292401990827,0.9165217064525292,0.7996891364731982,0
2066,E02002125,0.5871157190036124,-0.5795372077311381,-0.2832984747187976,-0.31378434706272984,-0.7287488968198965,-0.8635778052773374,-0.6769362566324866,0.901986752835624,-0.4388329643603399,0.0878997488610234,-0.3980901959287153,-0.7836647225706039,-1.5522680480612747,-1.2143190390188745,-1.0794234590579026,-0.5133080209450981,0.8982167583425709,0
2067,E02002126,-0.2120203986005157,-0.5795372077311381,-0.2832984747187976,-1.4908488671831133,-1.9521624985791368,-0.6650152697069177,-1.1965942660114972,1.3076013715110515,0.350119833283468,-0.45871683879566,0.3178597400691332,1.0569982403709126,0.3845412614677808,-2.599273904785864,-0.9145183693712462,-1.984118923731628,-0.2738851355233155,0
2068,E02002127,0.7134191372136752,-0.5795372077311381,-0.2832984747187976,-1.1978647035688643,-1.6411187164643293,-0.3443499596651177,-0.4851084999672075,1.2583522191488985,1.671680759644551,-0.2723365567857249,0.09484189113786308,0.4965163364395061,0.1637000059475132,-1.5506722225219602,-0.4097115793649462,0.14588851902294395,-0.027117467157066484,0
2069,E02002128,-0.3322052915703175,-0.5795372077311381,-0.2832984747187976,-0.2902527946093293,-1.4301059208773723,0.11017826375786396,-1.3022432541909017,0.4855148258858826,0.11787711079510135,0.2718198512999521,0.25735483138995746,-0.1146099152931481,-1.037319025341212,-1.5071125274882562,-0.9645030943958472,-0.05375553170418388,1.0752126068645638,0
2070,E02002129,-0.8845340684971171,-0.5795372077311381,-0.2832984747187976,0.16489790879940022,-1.5321705952220956,0.10495305155122234,-1.4253501188771935,0.37616153501388616,-0.16401108899684513,0.03394903014101226,0.12296670788826687,-0.18672513764119175,-0.2599014287187126,-1.575800118921843,-0.4210067537484589,-0.7286051615424867,1.2422288443778733,0
2071,E02002130,-0.2120203986005157,-0.5795372077311381,-0.2832984747187976,-0.9092268241788798,-1.7369740518819483,0.20335495508887305,-0.37868298043408705,0.7588531692220783,0.7671258233863152,-0.30010077405361385,0.3475288802782113,0.9015968319338232,-0.43312420170926463,-1.3788952604525098,-0.5066457623657463,-0.6780159977939667,0.17859460897233104,0
2072,E02002131,1.2375386137501512,-0.5795372077311381,-0.2832984747187976,0.9124515516368802,0.5555750044558584,-0.6851460321972429,-0.9185792982182124,0.10607999625313924,-1.6391788003215892,-0.845864148457199,-1.1778590926803172,-1.1495256504087397,-0.5190004489890817,-0.0057149022441821285,0.3624245762536489,0.044134296585197526,1.249549163543472,1
