,MSOA,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,label
2860,E02002941,0.7663710582307038,0.0,0.0,-0.0247461509495085,-1.4133610866794375,-7.579375330227117,-0.8250183438231142,-0.9241865219224398,0.3329848389742331,-0.35518548953805124,-7.363142502915312,-1.2827360066449678,1.3329743396984908,-2.5744677337464617,-0.8802809660943758,-3.4074951791368755,0.3754737711029274,3
2861,E02002942,-0.35082293649613583,0.0,0.0,0.8869863524430762,0.7054281369387102,-0.20530145371345326,-0.11047063912525236,-2.0167764276074007,-0.5134698186053409,-1.6777767433220916,-8.02610984065543,0.9808615475213908,1.0244078027229309,0.030284770840423726,-1.0094341240180036,2.5038764641869258,0.431551305878122,3
2862,E02002943,1.0191133327217183,0.0,0.0,0.6258367663865251,-0.4761092044175501,-6.032895266647974,-0.6124479388391955,-2.850108496371974,0.01851822850523434,-2.367233567140138,-7.035410893872832,-0.11105572273371292,0.8554997079590247,-1.320361305889166,-1.4457080361367882,-0.5006228880201962,0.5016923062451629,3
2863,E02002944,0.12771610752183452,0.0,0.0,-0.8872261086438189,-3.26018165499129,8.865014729197242,-1.2252291148407148,0.08957114541308248,0.4769924869331529,1.264567993154802,-6.642736927178444,-0.4288602451113101,0.770554359209657,-0.5132795514109827,-0.9894084650931004,-12.474503326908696,0.1833594032894064,0
2864,E02002945,0.5961244240911739,0.0,0.0,-0.3046615601106813,-2.7368269894366053,-5.337525336467388,-0.7335669473329441,0.6001093009257341,0.2857870924976317,1.1109309559581408,-7.984305248676275,-1.5256564844398883,0.8155296113818928,-1.5352427833313955,-1.0069881282432394,3.1436423080518914,0.15415687087373736,3
2865,E02002946,-0.10576228606164012,0.0,0.0,0.1339930551049657,-2.665095692734494,-6.9449502942414645,-1.2705955665173922,-0.3880178379269487,-0.03156401778728889,-2.2279118749270648,-6.041566126436916,0.30832375873518963,1.5929556818260977,-0.27269113020128644,-0.5804373008478341,-12.474503326908696,0.4794389928479322,3
2866,E02002947,-0.7210086451107008,0.0,0.0,-0.4676183333478237,-3.4229932229488598,-8.93743330325716,-1.0921357743600282,1.0388044540394048,-0.13256933296424134,-0.8974677730707497,-7.306303628248889,-0.5587483482833114,1.3251639744033947,-0.9439540089201236,-0.18264744725674312,-12.474503326908696,0.3008828816214675,3
2867,E02002948,-0.8522796423718006,0.0,0.0,-0.8727896848585396,-3.1257143580600584,-4.185865776648895,-1.4349241785450737,1.7102112665772513,0.1365835963982851,0.3417187518643223,-5.883665316112592,-0.5365526737725846,1.506960785607237,-1.4035096445354858,-0.1666866601916656,-8.798282518667165,0.1160232492483212,3
2868,E02002949,-0.1819321008987486,0.0,0.0,-0.4150950807863204,-1.009534216370573,8.865014729197242,-1.2699487433396952,-0.5309670162887327,-0.014214535184317891,-0.13289093133554933,-6.209920172700622,0.24670490215807375,1.2953923019903677,-0.17929009684535374,0.08378470450101196,-12.474503326908696,0.3441373715564874,0
2869,E02002950,0.3225469433792621,0.0,0.0,-0.6061129932324635,-1.829747135784632,-7.035371907748481,-1.4056129872530625,0.6445793376131934,-0.3204509258067449,0.8793064186689531,-7.124499843091696,-0.7772631638966596,1.4735962863242822,-1.5567018135661403,0.23919222942505505,-12.474503326908696,0.19058193056894496,3
