"","MSOA","X","yj_Bus_stops","yj_Train_stations","yj_metro_stations","yj_HH_owning_cars_perc","yj_work_from_home_perc","yj_underground_metro_perc","yj_train_perc","yj_bus_perc","yj_taxi_perc","yj_motorcycle_perc","yj_bicycle_perc","yj_on_foot_perc","yj_other_perc","yj_avg_time_from_origin_car_UNWEIGHTED","yj_avg_time_car","yj_avg_time_from_origin_bus_UNWEIGHTED","yj_avg_time_bus","yj_avg_time_from_origin_rail_UNWEIGHTED","yj_avg_time_rail","yj_car_perc","yj_idr_Kmeans_cluster","yj_DB_cluster","log_zscore_DB_cluster","log_zscore_kmeans_cluster","log_zscore_H_cluster","log_range_DB_cluster","log_range_H_cluster","log_range_kmeans_cluster","log_idr_DB_cluster","log_idr_kmeans_cluster.x","log_idr_H_cluster.x","yj_idr_DB_cluster.x","log_idr_kmeans_cluster.y","log_idr_H_cluster.y","yj_idr_DB_cluster.y","yj_idr_H_cluster","yj_H_cluster","yj_Kmeans_cluster","yj_Zscore_DB_cluster","yj_Zscore_H_cluster","yj_zscore_Kmeans_cluster"
"1494","E02001532",1493,1.30399696295482,0.217014038328239,0,5.85251803181213,0.0998066312906764,0.0186885990156561,-0.225896335004748,-4.36642883877689,-4.45290026051457,-0.110280906713545,-2.37386257450349,0.660389156042361,-0.574848326221022,0,0.819873660764772,0,0.432121895980963,0,1.13888969612732,82.6475646552159,1,2,0,1,1,0,2,1,0,1,2,0,1,2,0,1,1,1,0,2,1
"1495","E02001533",1494,0.566999449767243,0.217014038328239,0,-3.76479826310287,-2.00496483395622,0.0550614762477984,0.212637682608996,0.495901160836919,-4.20549509532383,-0.129456369719721,-1.37589549269744,0.539326603592015,-0.260314115353822,0,0.561163710580436,0,-0.608869566296607,0,-3.71789212600361,74.6321642308042,1,2,0,0,1,0,0,2,0,2,0,0,2,0,0,1,1,1,0,2,0
"1496","E02001534",1495,-0.127492017816675,0.217014038328239,0,-2.86680645957437,-1.02935776666698,-0.106115075510332,0.579607498477031,0.612131107592923,1.56412501859813,-0.123068748406133,-2.90620159539986,0.153808029875222,-0.657282186584696,0,0.246678444576583,0,0.0581473339062892,0,5.13800781018397,75.2540905809675,1,2,0,0,1,0,0,2,0,2,0,0,2,0,0,1,1,1,0,2,0
"1497","E02001535",1496,3.28169250890922,0,0,13.8082570023004,2.76118252957132,0.172400691882806,-3.16808278650033,-3.94448304122388,-4.935555289175,-0.169072154532915,-3.03071632023374,-3.47188436816626,-0.375957313051799,0,1.34296721136071,0,1.11152983021593,0,3.54390277163545,64.1428173128494,1,0,0,1,1,0,2,1,0,1,2,0,1,2,0,1,0,2,0,2,1
"1498","E02001536",1497,1.87299375753702,0,0,-1.08514612412686,-0.58938684400457,0.0879331373086332,-4.09141524903614,1.23230462342766,-1.30071008614554,-0.171773334317832,-2.78055018252713,-1.46803808292947,-1.78767808705236,0,-0.012056734472082,0,0.352007703764279,0,-1.42696553546776,112.09465722111,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,1
"1499","E02001537",1498,1.13472627395298,0.217014038328239,0,-2.91139341872412,-1.0890982552129,0.0295046696713376,3.33493861534275,0.509431030422597,-1.86720103795314,1.03150348255696,-2.07949025018044,-1.24595453082025,-0.0767050570917144,0,1.08688264394045,0,0.102838718473635,0,-0.889441911188156,75.2835940286293,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,2,1
"1500","E02001538",1499,0.296677488151393,0,0,-5.27313370031195,-1.51619477963364,-0.0747853923067499,-1.437906324703,1.04240301581028,0.513272176648734,0.459812679453765,-3.79820656737322,0.467865232048617,-0.534117403814337,0,0.374841445940565,0,0.504644157507428,0,5.8273254801883,78.4055286803103,1,0,0,0,1,0,0,2,0,2,0,0,2,0,0,1,0,2,0,0,0
"1501","E02001539",1500,-0.260819651531531,0,0,-5.37700277790941,-0.437177502600713,0.0351179702347652,-1.02948451865481,0.247115650418563,-2.77241162577787,-0.120910454127486,2.16933682170769,-0.268899299016017,-0.116853869972745,0,1.09939256319075,0,0.277849303787388,0,0.189924025550878,51.3068005973249,1,0,0,0,1,0,0,2,0,2,0,0,2,0,0,1,0,2,0,0,0
"1502","E02001540",1501,2.59987946809642,0,0,-1.94457673143411,0.95743538935421,-0.0743773141085058,-1.58066088528841,-0.0106037415730204,1.28840380580683,-0.460878313481422,-0.282245255181511,0.0511720855728342,-0.384408899840752,0,1.3088486149299,0,1.13641354287762,0,6.21526916421262,46.9177087610091,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,1
"1503","E02001541",1502,0.668885366241276,0.226062401346767,0,-5.30598092516997,-0.496306546572683,-0.0546807290608679,1.95746849597441,-2.44688528870248,-2.36255798909194,-0.718552521384596,1.28239769805298,1.31223005545122,-0.40223961513138,0,1.06857705186861,0,0.409148639066642,0,3.76254165587559,26.6123170954159,1,2,1,1,1,0,0,2,0,2,0,0,2,0,0,1,1,1,0,2,1
"1504","E02001542",1503,1.76640663408534,0.217014038328239,0,-9.58543292314485,0.21926271432848,-0.129235600507094,-1.67898527355728,1.77157845033642,0.586286566564672,1.27445329462706,0.157629034521917,-0.155605119758576,0.0934551602269255,0,1.12821414312774,0,-0.540073464944824,0,-8.52804817835787,42.4185179763985,1,2,0,0,0,0,3,4,0,4,3,0,4,3,0,1,1,1,0,2,0
"1505","E02001543",1504,1.13472627395298,0,0,-7.54488551039802,-1.20361539721482,-0.129235600507094,-0.0965374942576109,2.37185909776285,2.40955929475541,-0.386429875795537,-0.450260148132692,1.00683280027102,-0.773794824924675,0,0.694583767383333,0,0.550276199581646,0,-8.52804817835787,26.8941542228791,1,0,0,0,0,0,3,4,0,4,3,0,4,3,0,1,0,0,0,0,0
"1506","E02001544",1505,0,0,0,-1.73793347105557,-1.06078624611962,-0.0789082028190143,-1.5080527160889,1.92274316130432,-1.46805466419741,0.115095719398571,0.186067216684321,-1.77861522460641,-0.940955872130325,0,0.532934885397745,0,-0.348197137958579,0,-3.35584331871067,93.6439960395611,1,0,0,0,1,0,0,2,0,2,0,0,2,0,0,1,0,2,0,0,0
"1507","E02001545",1506,0.566999449767243,0.217014038328239,0,6.27064870443396,-0.166417597060337,-0.129235600507094,2.17829043487188,-1.58010583929588,-1.6654712799835,-1.44698053306307,-0.0262753529356406,-1.72711326824899,-0.68328486593102,0,0.681525352087389,0,0.148644263807701,0,-8.52804817835787,97.8465532239914,1,2,0,1,0,0,3,4,0,4,3,0,4,3,0,1,1,1,0,2,1
"1508","E02001546",1507,1.76640663408534,0,0,7.69251438358091,2.55743710580614,-0.0555680221401838,-3.10386495980365,-0.518113588824402,-3.90374876533114,-0.686649405270608,-0.430844816393333,-0.958659786712111,1.26942342770461,0,0.884153455708456,0,-0.249755022113485,0,5.70145287955587,18.4873536574736,2,0,0,1,1,0,2,1,0,1,2,0,1,2,0,2,0,2,0,2,1
"1509","E02001547",1508,1.65648200065928,0.217014038328239,0,-7.69775094038649,-1.62843366607048,-0.068295461130231,2.30559170507373,3.08061897343093,4.61055713843218,0.36635757380427,0.780990346874451,0.339167894402128,-0.679536474804373,0,0.613180059833235,0,0.0728118548394797,0,3.28416435915118,14.0300658362756,2,2,0,0,0,0,0,2,0,2,0,0,2,0,0,2,1,1,0,0,0
"1510","E02001548",1509,0.863343472138401,0,0,-13.8934976073707,-1.1114998803666,0.00520830409170428,2.36193710287344,4.54459024533934,5.5132010377556,0.866142647846684,1.40693418842437,0.525908972031084,-0.0854395652940439,0,0.182621145384482,0,-0.893596043259166,0,0.472383822837807,-26.9703215652976,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0
"1511","E02001549",1510,0.122215768669958,0,0,2.04973159876905,-0.17239660749152,-0.0673595042331213,-0.924847865760007,-0.277389516332247,1.3460479833803,-0.548272724181843,1.20029370730372,-0.498823825113395,-1.46113160743618,0,-0.195358916926018,0,-1.7282277151581,0,1.74554740874954,71.8931692219518,1,0,0,0,1,0,0,2,0,2,0,0,2,0,0,1,0,2,0,0,0
"1512","E02001550",1511,0.668885366241276,0.217014038328239,0,-5.37618535057818,-0.711462554106102,-0.0101862572656594,0.803454303192046,2.46784335893512,6.5533841603214,-0.726594772398819,1.23808899543541,0.365517652161127,-0.630375300717484,0,-0.174902025474874,0,-0.904288538246945,0,-1.78475049951379,15.7585315672475,2,2,0,0,0,0,0,2,0,2,0,0,2,0,0,2,1,1,0,0,0
"1513","E02001551",1512,-0.0630535864988578,0,0,-7.73871987027791,-1.78209496896996,-0.0387652421227232,0.834288856266442,3.48570468262934,5.12196335683357,-1.39580533906297,1.32005933983387,1.17791965007537,-1.42771348054134,0,-0.141929195837674,0,-1.83965749206624,0,5.18538484090546,-5.85519704860476,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0
"1514","E02001552",1513,-0.127492017816675,0,0,-2.10363199059889,-1.29633836241639,-0.0560885574977626,-2.5032839200166,1.7479484186281,3.97469629456895,-0.707337007488929,1.48859296339485,-0.0329310510696985,0.609089085135905,0,0.109689834731974,0,-1.04354050848557,0,5.06748612006363,53.6997993006343,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0
"1515","E02001553",1514,1.87299375753702,0,0,-8.8162969122338,-1.42339035985079,-0.0467373302813445,-0.270422621905929,2.84817103265701,5.91739170403135,-0.860792159166255,1.76885587502293,1.55665067451335,-2.2241125768915,0,0.0790814160870164,0,-1.87199849151743,0,-0.0546250582851098,-14.7106650736757,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0
"1516","E02001554",1515,0.239634897195639,0,0,4.66786044130034,-1.35229926180765,0.00159397222545532,-1.12975853412708,2.28121670204328,2.21388521853836,-0.722891334244908,1.22530507296417,0.264536695742143,-3.54284358289408,0,-0.0754992178488151,0,-1.6203793521368,0,-0.156742566520263,44.3784688243813,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0
"1517","E02001555",1516,-0.400641260883273,0,0,5.01925233705328,-1.00202018654728,-0.0350780639616403,-3.94376389937309,0.321223259058382,-4.43578606173308,1.3308485357975,1.2655405046055,-1.57787053984655,-1.02317404655809,0,0.623722277137559,0,-0.960674687598249,0,3.88579102499037,103.518317514318,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,1
"1518","E02001556",1517,0.239634897195639,0,0,-11.5135697354437,-1.07714722152267,-0.104404338278918,-2.53165360308107,3.22162319101832,8.13831059225647,-0.018848928734703,1.83944517948185,1.81953435483902,0.606115797809358,0,-0.0293575145243747,0,-0.818922317063758,0,-5.88851113648917,-34.6791106667353,2,0,0,0,0,0,3,2,0,2,3,0,2,3,0,2,0,0,0,0,0
"1519","E02001557",1518,1.13472627395298,0,0,-8.20158981369031,0.0434107861890755,-0.0710820804389755,0.531354374018134,1.53451783971493,7.17994834927399,-0.994234328322028,1.7610399292491,2.16196185317546,1.06723766730402,0,0.310148779010211,0,-0.77927230355225,0,5.07152718631504,-49.9698853236502,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0
"1520","E02001558",1519,2.30136904500514,0,0,7.53921248181824,1.30022859190155,0.0528087119203842,-0.795409794172073,-1.24086110198653,-1.40351753937261,-0.676586462675753,-1.97643240796496,-3.2584379992466,-0.610112102439012,0,1.39699179911219,0,0.76536988075442,0,-2.18967032099299,101.202876094158,1,0,0,1,1,0,2,1,0,1,2,0,1,2,0,1,0,2,0,2,1
"1521","E02001559",1520,0.0617357618031681,0,0,9.35311441957372,0.172794991134697,-0.0810187400695744,-0.997364160489616,-1.61420841117585,1.69455274482518,-1.6962671719657,0.168869724494663,-1.29102121261935,-1.74870056614167,0,0.47051933251046,0,-2.31324907922739,0,-8.52804817835787,103.007388815358,1,0,0,0,0,0,3,4,0,4,3,0,4,3,0,1,0,2,0,0,0
"1522","E02001560",1521,2.10994261458013,0.217014038328239,0,-19.3296759558831,-0.461863602365552,-0.0443047421339964,-0.711334317697042,4.24573754069859,8.23082248780596,-0.123068748406133,1.78732604515575,2.65578116574234,1.21116978720821,0,-0.0583196311768341,0,-0.994397689107277,0,-1.22641880301232,-93.0832513665964,0,2,0,0,0,0,0,2,0,2,0,0,2,0,0,0,1,1,0,0,0
"1523","E02001561",1522,0.181497625171642,0,0,-17.8388403600811,-2.23900095942963,-0.0944566219396387,-0.81780944568546,3.75237827871896,6.12251792042616,-1.23885167530994,1.70187726775277,2.09580294193571,-1.99501421360463,0,-0.0775236123773324,0,-1.88994638349308,0,3.79807899707322,-37.8611579772807,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0
"1524","E02001562",1523,-0.127492017816675,0,0,-8.94873740433547,-0.648833082177093,-0.0894956576215245,-1.31615687035808,3.03755190663998,3.95094690176985,-0.478530053410796,1.32131343247727,-0.90969538609218,-2.15542626200431,0,0.117709705840331,0,-2.23503103540128,0,-6.66908656057272,46.301726936991,1,0,0,0,0,0,3,4,0,4,3,0,4,3,0,1,0,0,0,0,0
"1525","E02001563",1524,0.618354452132485,0,0,3.36435008179185,0.917339611457439,-0.0508355976835761,0.678788556756927,0.753746255350775,0.91405250836104,-0.930389099559277,0.945123399537031,-1.70243999690999,-0.759380061545224,0,0.12555090672186,0,-3.32814236480847,0,3.54321288802967,53.026905444225,1,0,0,0,1,0,2,2,0,2,2,0,2,2,0,1,0,2,0,0,0
"1526","E02001564",1525,1.13472627395298,0,0,12.1736385119675,0.849621734491317,-0.0564961980825704,-3.35400283054502,-1.79026325793079,-1.4999319498659,-1.28966795760659,-1.30635555539455,-2.92563116963533,0.703033727836945,0,0.983735409329517,0,-1.65961766940591,0,4.33133160306541,122.954720198489,1,0,0,1,1,0,2,1,0,1,2,0,1,2,0,1,0,2,0,2,1
"1527","E02001565",1526,0.514788557448744,0,0,10.6390536486376,0.942938758708106,-0.00368295999780749,0.854670351078353,-1.6190553828679,3.2758984663023,-1.69838972886253,-0.554499893770698,-2.0949074422726,-0.912476631517203,0,0.657425581782799,0,-1.41315562400593,0,3.12839165000729,87.3478638762599,1,0,0,1,1,0,2,1,0,1,2,0,1,2,0,1,0,2,0,0,1
"1528","E02001566",1527,1.13472627395298,0,0,-10.5027651744508,-2.01666121059941,-0.018355520222688,-1.34070416887524,2.27509072685106,4.41183061023045,-0.943645332421183,0.472992085724576,1.18537125594816,0.00947478489130102,0,-0.22604976763813,0,-1.203292159318,0,3.76785295376305,26.8299225254736,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0
"1529","E02001567",1528,0.718622179091041,0,0,-8.714026145544,-2.35210254454775,-0.0810187400695744,-1.84068409983671,3.80471376210159,5.48537607496069,1.0425312769519,1.01275723620802,0.213562181169468,-1.04722848802154,0,-0.525754529204682,0,-1.57096933944485,0,4.72522602823994,29.21928178457,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0
