,MSOA,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,car_perc,label
15,E02000017,0.3573249857127319,0.9278955777473404,0.8253116260561436,0.7268449276148692,0.560736464497627,0.4051342751538604,0.4539958348261225,0.4488735079617713,0.681907751559492,1
16,E02000018,0.2833338063514899,0.9054552861112998,0.7837328959276572,0.7437107521837165,0.7142729947439423,0.4858416729351716,0.3336474617400249,0.4156791303314773,0.7734924636489833,1
17,E02000019,0.23742468598630104,0.9038033851611954,0.7605351212848341,0.7233640994215661,0.7846244406250716,0.5061871502486649,0.3974562097570456,0.5395154301268672,0.786484242323215,1
18,E02000020,0.3629847417916503,0.9064460176275602,0.8091076152063831,0.7547080983735468,0.5784132640442191,0.5020882482438431,0.4199713132400044,0.5890954527506131,0.7234912308424961,1
19,E02000021,0.3536968796012087,0.8770661291941086,0.7706877585801283,0.7717111659634229,0.7010259222819509,0.4776772363333376,0.4266548453133009,0.5245833076266702,0.7829869882175415,1
20,E02000022,0.3637341505277104,0.924580700039506,0.8249533296847043,0.7923772520708834,0.4687258095212983,0.472298262343777,0.4423795698327494,0.4921482209971354,0.6399100135542116,1
21,E02000023,0.37134104535123663,0.8863826230797389,0.8119063437526968,0.8039366836917043,0.6217953704512845,0.5597372739402497,0.3183076317747752,0.5028840110131125,0.7357904063134642,1
22,E02000024,0.6386674181644331,0.9047746960511472,0.6397949682787879,0.6160189165946194,0.7149735736518277,0.4933121852288759,0.4849073763096593,0.4477420681141777,0.7716550817639758,1
23,E02000025,0.5565223823059058,0.8499767067746373,0.803447491411496,0.7024230198740573,0.7552412344569449,0.4469855230978443,0.3351217765641006,0.4326054927786448,0.8025220216058871,1
24,E02000026,0.5370175173312517,0.8696653577773056,0.7429594421755966,0.6331504666295888,0.7312130019858321,0.34713638714402817,0.2984366460947434,0.5415633197582966,0.8372193356756361,1
25,E02000027,0.478413133953332,0.8721845083687326,0.6264050780567441,0.7508232193456854,0.7277507711955237,0.3717610245581469,0.4352047730078987,0.5292369308329881,0.8223932705944703,1
26,E02000028,0.6032154744593488,0.8423754751479609,0.8249207796120366,0.6612941943782971,0.71442129419716,0.4055312047736597,0.30223996669614805,0.3850583226292501,0.8053138721956359,1
27,E02000029,0.4700639860987264,0.8232412667726823,0.8429006285937064,0.6960450277662193,0.6860175694527708,0.4164985329939028,0.3920356375424541,0.5612751180716031,0.8116748342728142,1
28,E02000030,0.7015544147075636,0.8577162460256158,0.6545339983454088,0.6257117772224937,0.6798493287682739,0.365911295349894,0.2613253402888104,0.5454256617208298,0.8415035698312827,1
29,E02000031,0.6307656852542547,0.9106981983100392,0.7360079097931144,0.6965215634032768,0.7253640293683582,0.4488975201068325,0.27242780795391264,0.5338004550219965,0.7469660387031554,1
30,E02000032,0.5258585306233248,0.9094555807319952,0.6464783358717796,0.6071745316438573,0.6731764070563865,0.3920283042765038,0.3054762276474743,0.5469987829535063,0.8216924385917046,1
31,E02000033,0.4983684027334686,0.8943662738510139,0.7247396472749488,0.7333949122452933,0.7754128389421749,0.4136878890928569,0.2880450633697277,0.5598404727012598,0.7914239171797186,1
32,E02000034,0.5587027747238718,0.8926845697733669,0.6600975653147556,0.7313505301872285,0.8002898346222967,0.4669744087535847,0.3659997701271901,0.4787139916842007,0.787859937442245,1
33,E02000035,0.6200350573406499,0.947341991274835,0.6004484454055437,0.6763502127293226,0.6853992206289129,0.4563046780703066,0.3313819635533409,0.5056070512181513,0.7103132169325392,1
34,E02000036,0.5518172837880082,0.856304730925476,0.7412351365084019,0.7410553279486689,0.6645139395447095,0.3678286205539578,0.25585968404407256,0.5432515882828868,0.8220792871441207,1
35,E02000037,0.622174672024157,0.8680129871456239,0.6380884006947566,0.7017388659133306,0.6232382260392819,0.3574938153865897,0.2867144228143925,0.5186901821506891,0.8317345847021764,1
36,E02000038,0.5313653130575855,0.8845761766932523,0.7665330739811327,0.7906223284495799,0.8183585405846161,0.4792658842226414,0.2765600891733673,0.5609322539604052,0.7449337695498313,1
37,E02000039,0.6931975031938515,0.8231238522423685,0.8200798166772991,0.6790178228640761,0.6778371540904746,0.4140646643826705,0.29584835016653954,0.498504819299976,0.7940153995838437,1
38,E02000040,0.6329972483316861,0.8742086786845394,0.6870051066643289,0.7238405944001844,0.6474263512042561,0.423708442355332,0.4781024693271369,0.4665092480333078,0.7802234982612535,1
39,E02000041,0.5687029596144115,0.8895048373957605,0.6766576158134538,0.7761103757172372,0.6506324386585599,0.3260011907825602,0.4451279299533229,0.44378295202780016,0.7631182629642961,1
