"","MSOA","Bus_stops","Train_stations","metro_stations","HH_owning_cars_perc","work_from_home_perc","underground_metro_perc","train_perc","bus_perc","taxi_perc","motorcycle_perc","bicycle_perc","on_foot_perc","other_perc","avg_time_from_origin_car_UNWEIGHTED","avg_time_car","avg_time_from_origin_bus_UNWEIGHTED","avg_time_bus","avg_time_from_origin_rail_UNWEIGHTED","avg_time_rail","car_perc","yj_idr_Kmeans_cluster","yj_DB_cluster","log_zscore_DB_cluster","log_zscore_kmeans_cluster","log_zscore_H_cluster","log_range_DB_cluster","log_range_H_cluster","log_range_kmeans_cluster","log_idr_DB_cluster","log_idr_kmeans_cluster","log_idr_H_cluster","yj_idr_DB_cluster","yj_idr_H_cluster","yj_H_cluster","yj_Kmeans_cluster","yj_Zscore_DB_cluster","yj_Zscore_H_cluster","yj_zscore_Kmeans_cluster"
"3505","E02003595",94,NA,NA,82.2308331026848,13.0235226620769,0.0860585197934596,1.46299483648881,2.52438324727481,0.0860585197934596,1.9219736087206,1.83591508892714,8.34767641996558,1.40562248995984,187.745510114289,13.435871240829,380.430467361242,42.6741257232558,226.483683208402,82.2384715,69.3057946069994,1,0,0,2,3,0,4,3,0,3,4,0,1,0,2,0,2,1
"3506","E02003596",64,2,NA,67.0398009950249,14.9395509499136,0.259067357512953,2.10132412204951,5.18134715025907,0.287852619458837,1.32412204951065,1.26655152561888,17.0984455958549,1.29533678756477,189.153974235661,14.9144991393885,380.445010197377,47.6762199719298,226.616304357632,96.4629257857143,56.2464018422568,2,-1,-1,2,1,-1,4,3,-1,3,4,0,2,1,1,-1,2,1
"3507","E02003597",143,NA,NA,87.7029220779221,18.8724510195922,0.159936025589764,0.879648140743703,2.55897640943623,0,1.5593762495002,1.31947221111555,5.03798480607757,1.63934426229508,192.881171456047,18.4916446577503,399.26693113512,60.2999740677966,243.009504324192,164.862995,67.9728108756497,1,0,0,2,3,0,4,3,0,3,4,0,2,0,2,-1,2,1
"3508","E02003598",81,NA,NA,75.9340659340659,16.5169980756895,0.32071840923669,1.21872995509942,5.29185375240539,0.0962155227710071,1.69980756895446,0.737652341244387,12.4118024374599,0.898011545862733,190.95936389932,17.688987654375,396.499413412235,52.3324712820513,234.907122158353,147.8956845,60.8082103912765,2,-1,0,2,3,0,4,3,0,3,4,-1,2,0,2,-1,2,1
"3509","E02003599",12,NA,NA,84.4812164579606,7.7834179357022,0.304568527918782,7.34348561759729,1.45516074450085,0.135363790186125,0.676818950930626,2.47038917089679,8.79864636209814,0.203045685279188,106.501727802055,16.8040073623804,225.282804558812,17.9926256666667,129.188762589892,41.7991825111111,70.82910321489,1,0,0,1,1,0,0,1,0,1,0,0,1,0,2,0,0,1
"3510","E02003600",19,1,NA,83.9201877934272,11.3142136779073,0.157579577686732,7.8159470532619,1.60731169240466,0.157579577686732,0.787897888433659,3.02552789158525,7.68988339111251,0.283643239836117,106.557452632955,14.9970610890686,223.809793547882,27.081303696,127.203080649688,43.383576,67.1604160100851,2,2,0,1,1,0,2,1,0,1,2,0,2,1,1,0,2,1
"3511","E02003601",54,NA,NA,90.1287553648069,13.6375094529871,0.176455760020166,5.09200907486766,1.91580539450466,0.0756238971514999,0.554575245777666,1.71414166876733,4.13410637761533,0.378119485757499,110.118003735245,18.9692746796421,226.554593713137,14.1467290891892,130.4886805622,52.0030761428571,72.3216536425511,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,2,1
"3512","E02003602",41,NA,NA,92.3486088379705,17.6509186351706,0.131233595800525,5.11811023622047,1.21391076115486,0.131233595800525,0.5249343832021,1.37795275590551,2.52624671916011,0.459317585301837,106.213175203277,15.9634868278662,225.758158101444,40.3028959558824,131.358977846299,44.875333,70.8661417322835,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,2,1
"3513","E02003603",57,1,NA,80.6258958432871,7.35042735042735,0.265906932573599,9.51566951566952,1.12060778727445,0.0949667616334283,0.493827160493827,2.62108262108262,11.0921177587844,0.43684710351377,107.129403087085,15.1212392943671,223.466012279405,25.3179176785714,124.329157805056,43.9503581538461,67.008547008547,2,2,0,1,1,0,2,1,0,1,2,0,2,1,1,0,2,1
"3514","E02003604",49,NA,NA,85.8922682301209,9.70488081725312,0.0567536889897843,6.21452894438138,1.13507377979569,0.170261066969353,0.737797956867196,3.06469920544835,9.36435868331442,0.283768444948922,107.399686742823,14.5974725689524,224.756014921206,31.9793567815789,126.676774851701,53.0158,69.2678774120318,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,0,1
